Page: 1 of 25||||||||2020-03-03 23:26:13

||City and County of San Francisco␤March 3, 2020, Presidential Primary Election␤Preliminary Statement of the Vote - 4

Precinct|Registered␤Voters||Cards Cast||Voters Cast|% Turnout
Total|773||417||212|0.274256144890039
Pct 7002
Vote by Mail|714||152||78|0.109243697478992
Election Day|714||176||88|0.123249299719888
Total|714||328||166|0.23249299719888
Pct 7003
Vote by Mail|906||287||147|0.162251655629139
Election Day|906||287||144|0.158940397350993
Total|906||574||291|0.321192052980132
Pct 7004
Vote by Mail|913||279||146|0.159912376779847
Election Day|913||282||142|0.15553121577218
Total|913||561||288|0.315443592552026
Pct 7005
Vote by Mail|859||275||142|0.165308498253783
Election Day|859||324||162|0.188591385331781
Total|859||599||304|0.353899883585565
Pct 7006
Vote by Mail|932||231||119|0.127682403433476
Election Day|932||298||149|0.159871244635193
Total|932||529||268|0.28755364806867
Pct 7007
Vote by Mail|957||283||145|0.151515151515152
Election Day|957||336||168|0.175548589341693
Total|957||619||313|0.327063740856844
Pct 7008
Vote by Mail|909||298||154|0.169416941694169
Election Day|909||377||189|0.207920792079208
Total|909||675||343|0.377337733773377
Pct 7009
Vote by Mail|871||265||142|0.163030998851894
Election Day|871||181||91|0.104477611940299
Total|871||446||233|0.267508610792193
Pct 7011
Vote by Mail|973||131||66|0.0678314491264132
Election Day|973||174||87|0.0894141829393628
Total|973||305||153|0.157245632065776
Pct 7012
Vote by Mail|1226||373||192|0.156606851549755
Election Day|1226||402||204|0.166394779771615
Total|1226||775||396|0.32300163132137
Pct 7013
Vote by Mail|1139||233||123|0.107989464442493
Election Day|1139||301||151|0.132572431957858
Total|1139||534||274|0.240561896400351
Pct 7014
Vote by Mail|719||171||89|0.123783031988873
Election Day|719||222||111|0.154381084840056
Total|719||393||200|0.278164116828929
Pct 7015 MB
Vote by Mail|110||26||13|0.118181818181818
Election Day|110||0||0|0
Total|110||26||13|0.118181818181818
Pct 7016
Vote by Mail|932||148||85|0.0912017167381974
Election Day|932||148||75|0.0804721030042918
Total|932||296||160|0.171673819742489
Pct 7017
Vote by Mail|781||102||52|0.0665813060179257
Election Day|781||107||54|0.0691421254801537
Total|781||209||106|0.135723431498079
Pct 7018
Vote by Mail|1047||228||130|0.124164278892073
Election Day|1047||112||56|0.0534861509073543
Total|1047||340||186|0.177650429799427
Pct 7019
Vote by Mail|900||231||130|0.144444444444444
Election Day|900||146||73|0.0811111111111111
Total|900||377||203|0.225555555555556
Pct 7021
Vote by Mail|967||145||79|0.0816959669079628
Election Day|967||211||106|0.109617373319545
Total|967||356||185|0.191313340227508
Pct 7022
Vote by Mail|963||206||110|0.114226375908619
Election Day|963||108||54|0.0560747663551402
Total|963||314||164|0.170301142263759
Pct 7023
Vote by Mail|920||267||142|0.154347826086957
Election Day|920||139||71|0.0771739130434783
Total|920||406||213|0.231521739130435
Pct 7024
Vote by Mail|441||47||25|0.0566893424036281
Election Day|441||39||20|0.0453514739229025
Total|441||86||45|0.102040816326531
Pct 7025
Vote by Mail|483||81||41|0.0848861283643892
Election Day|483||79||40|0.082815734989648
Total|483||160||81|0.167701863354037
Pct 7026
Vote by Mail|1010||234||136|0.134653465346535
Election Day|1010||143||72|0.0712871287128713
Total|1010||377||208|0.205940594059406
Pct 7027
Vote by Mail|896||173||96|0.107142857142857
Election Day|896||189||96|0.107142857142857
Total|896||362||192|0.214285714285714
Pct 7028
Vote by Mail|856||151||85|0.0992990654205607
Election Day|856||194||97|0.113317757009346
Total|856||345||182|0.212616822429907
Pct 7029
Vote by Mail|909||148||80|0.088008800880088
Election Day|909||80||41|0.0451045104510451
Total|909||228||121|0.133113311331133
Pct 7030
Vote by Mail|795||222||128|0.161006289308176
Election Day|795||107||58|0.0729559748427673
Total|795||329||186|0.233962264150943
Pct 7031
Vote by Mail|694||199||118|0.170028818443804
Election Day|694||96||48|0.069164265129683
Total|694||295||166|0.239193083573487
Pct 7032
Vote by Mail|881||198||112|0.127128263337117
Election Day|881||101||50|0.0567536889897843
Total|881||299||162|0.183881952326901
Pct 7033
Vote by Mail|778||183||96|0.123393316195373
Election Day|778||171||86|0.110539845758355
Total|778||354||182|0.233933161953728
Pct 7034
Vote by Mail|938||100||52|0.0554371002132196
Election Day|938||114||57|0.0607675906183369
Total|938||214||109|0.116204690831557
Pct 7035
Vote by Mail|719||163||86|0.119610570236439
Election Day|719||104||52|0.0723226703755216
Total|719||267||138|0.191933240611961
Pct 7036
Vote by Mail|974||189||109|0.111909650924025
Election Day|974||78||39|0.040041067761807
Total|974||267||148|0.151950718685832
Pct 7037
Vote by Mail|746||57||31|0.0415549597855228
Election Day|746||75||38|0.0509383378016086
Total|746||132||69|0.0924932975871314
Pct 7038
Vote by Mail|961||240||144|0.149843912591051
Election Day|961||112||58|0.0603537981269511
Total|961||352||202|0.210197710718002
Pct 7039
Vote by Mail|837||189||105|0.125448028673835
Election Day|837||206||105|0.125448028673835
Total|837||395||210|0.25089605734767
Pct 7041 MB
Vote by Mail|66||25||13|0.196969696969697
Election Day|66||0||0|0
Total|66||25||13|0.196969696969697
Pct 7042
Vote by Mail|660||164||88|0.133333333333333
Election Day|660||116||58|0.0878787878787879
Total|660||280||146|0.221212121212121
Pct 7043
Vote by Mail|978||215||117|0.119631901840491
Election Day|978||156||78|0.0797546012269939
Total|978||371||195|0.199386503067485
Pct 7044
Vote by Mail|852||117||67|0.0786384976525822
Election Day|852||66||33|0.0387323943661972
Total|852||183||100|0.117370892018779
Pct 7045
Vote by Mail|786||213||119|0.151399491094148
Election Day|786||106||53|0.0674300254452926
Total|786||319||172|0.21882951653944
Pct 7046
Vote by Mail|430||86||45|0.104651162790698
Election Day|430||95||48|0.111627906976744
Total|430||181||93|0.216279069767442
Pct 7047
Vote by Mail|883||244||136|0.154020385050963
Election Day|883||124||63|0.0713476783691959
Total|883||368||199|0.225368063420159
Pct 7048
Vote by Mail|881||186||106|0.120317820658343
Election Day|881||109||56|0.0635641316685585
Total|881||295||162|0.183881952326901
Pct 7049
Vote by Mail|826||183||105|0.127118644067797
Election Day|826||127||70|0.0847457627118644
Total|826||310||175|0.211864406779661
Pct 7051
Vote by Mail|880||229||128|0.145454545454545
Election Day|880||139||70|0.0795454545454545
Total|880||368||198|0.225
Pct 7052
Vote by Mail|906||209||120|0.132450331125828
Election Day|906||166||85|0.0938189845474614
Total|906||375||205|0.226269315673289
Pct 7053
Vote by Mail|585||193||103|0.176068376068376
Election Day|585||78||40|0.0683760683760684
Total|585||271||143|0.244444444444444
Pct 7054
Vote by Mail|1136||179||98|0.0862676056338028
Election Day|1136||210||105|0.0924295774647887
Total|1136||389||203|0.178697183098592
Pct 7055
Vote by Mail|826||221||120|0.145278450363196
Election Day|826||151||76|0.0920096852300242
Total|826||372||196|0.23728813559322
Pct 7056
Vote by Mail|705||164||85|0.120567375886525
Election Day|705||238||119|0.168794326241135
Total|705||402||204|0.28936170212766
Pct 7101 MB
Vote by Mail|147||60||31|0.210884353741497
Election Day|147||0||0|0
Total|147||60||31|0.210884353741497
Pct 7201
Vote by Mail|935||281||143|0.152941176470588
Election Day|935||196||98|0.104812834224599
Total|935||477||241|0.257754010695187
Pct 7202
Vote by Mail|851||255||133|0.156286721504113
Election Day|851||248||125|0.146886016451234
Total|851||503||258|0.303172737955347
Pct 7203
Vote by Mail|879||219||115|0.130830489192264
Election Day|879||294||148|0.168373151308305
Total|879||513||263|0.299203640500569
Pct 7204
Vote by Mail|899||320||166|0.184649610678532
Election Day|899||231||115|0.127919911012236
Total|899||551||281|0.312569521690768
Pct 7205
Vote by Mail|871||251||132|0.151549942594719
Election Day|871||266||133|0.152698048220436
Total|871||517||265|0.304247990815155
Pct 7206
Vote by Mail|377||81||40|0.106100795755968
Election Day|377||152||76|0.20159151193634
Total|377||233||116|0.307692307692308
Pct 7207
Vote by Mail|867||215||120|0.13840830449827
Election Day|867||233||117|0.134948096885813
Total|867||448||237|0.273356401384083
Pct 7208
Vote by Mail|570||173||92|0.16140350877193
Election Day|570||120||60|0.105263157894737
Total|570||293||152|0.266666666666667
Pct 7209
Vote by Mail|647||387||199|0.30757341576507
Election Day|647||126||63|0.0973724884080371
Total|647||513||262|0.404945904173107
Pct 7301
Vote by Mail|1014||245||129|0.127218934911243
Election Day|1014||223||112|0.110453648915187
Total|1014||468||241|0.23767258382643
Pct 7302
Vote by Mail|849||325||176|0.207302709069494
Election Day|849||227||116|0.136631330977621
Total|849||552||292|0.343934040047114
Pct 7303
Vote by Mail|1068||272||148|0.138576779026217
Election Day|1068||280||141|0.132022471910112
Total|1068||552||289|0.27059925093633
Pct 7304
Vote by Mail|1001||258||140|0.13986013986014
Election Day|1001||326||164|0.163836163836164
Total|1001||584||304|0.303696303696304
Pct 7305
Vote by Mail|867||306||160|0.184544405997693
Election Day|867||281||141|0.162629757785467
Total|867||587||301|0.34717416378316
Pct 7306
Vote by Mail|1044||231||121|0.115900383141762
Election Day|1044||302||152|0.145593869731801
Total|1044||533||273|0.261494252873563
Pct 7307
Vote by Mail|774||182||95|0.122739018087855
Election Day|774||200||101|0.130490956072351
Total|774||382||196|0.253229974160207
Pct 7308
Vote by Mail|625||205||106|0.1696
Election Day|625||252||126|0.2016
Total|625||457||232|0.3712
Pct 7309
Vote by Mail|858||224||116|0.135198135198135
Election Day|858||311||156|0.181818181818182
Total|858||535||272|0.317016317016317
Pct 7311
Vote by Mail|906||206||107|0.118101545253863
Election Day|906||337||168|0.185430463576159
Total|906||543||275|0.303532008830022
Pct 7312
Vote by Mail|810||291||149|0.183950617283951
Election Day|810||238||121|0.149382716049383
Total|810||529||270|0.333333333333333
Pct 7313
Vote by Mail|1003||323||173|0.172482552342971
Election Day|1003||229||115|0.114656031904287
Total|1003||552||288|0.287138584247258
Pct 7314
Vote by Mail|759||204||124|0.163372859025033
Election Day|759||112||56|0.0737812911725955
Total|759||316||180|0.237154150197628
Pct 7315
Vote by Mail|765||150||82|0.10718954248366
Election Day|765||231||116|0.151633986928105
Total|765||381||198|0.258823529411765
Pct 7316
Vote by Mail|832||215||119|0.143028846153846
Election Day|832||200||100|0.120192307692308
Total|832||415||219|0.263221153846154
Pct 7317
Vote by Mail|890||274||146|0.164044943820225
Election Day|890||212||107|0.120224719101124
Total|890||486||253|0.284269662921348
Pct 7318
Vote by Mail|723||247||142|0.19640387275242
Election Day|723||198||99|0.136929460580913
Total|723||445||241|0.333333333333333
Pct 7319
Vote by Mail|1049||211||113|0.107721639656816
Election Day|1049||225||113|0.107721639656816
Total|1049||436||226|0.215443279313632
Pct 7321
Vote by Mail|659||150||85|0.128983308042489
Election Day|659||124||62|0.0940819423368741
Total|659||274||147|0.223065250379363
Pct 7322
Vote by Mail|888||257||164|0.184684684684685
Election Day|888||49||25|0.0281531531531532
Total|888||306||189|0.212837837837838
Pct 7323
Vote by Mail|956||241||128|0.133891213389121
Election Day|956||249||126|0.131799163179916
Total|956||490||254|0.265690376569038
Pct 7324
Vote by Mail|737||161||89|0.120759837177748
Election Day|737||173||89|0.120759837177748
Total|737||334||178|0.241519674355495
Pct 7325
Vote by Mail|886||221||114|0.128668171557562
Election Day|886||240||123|0.13882618510158
Total|886||461||237|0.267494356659142
Pct 7326
Vote by Mail|859||181||104|0.121071012805588
Election Day|859||231||116|0.135040745052387
Total|859||412||220|0.256111757857974
Pct 7327
Vote by Mail|687||208||130|0.189228529839884
Election Day|687||72||37|0.0538573508005822
Total|687||280||167|0.243085880640466
Pct 7328
Vote by Mail|1002||311||188|0.187624750499002
Election Day|1002||91||46|0.0459081836327345
Total|1002||402||234|0.233532934131737
Pct 7329
Vote by Mail|651||222||124|0.19047619047619
Election Day|651||110||56|0.0860215053763441
Total|651||332||180|0.276497695852535
Pct 7331
Vote by Mail|870||326||171|0.196551724137931
Election Day|870||256||129|0.148275862068966
Total|870||582||300|0.344827586206897
Pct 7332
Vote by Mail|790||183||101|0.127848101265823
Election Day|790||225||113|0.143037974683544
Total|790||408||214|0.270886075949367
Pct 7333
Vote by Mail|1015||274||147|0.144827586206897
Election Day|1015||321||161|0.158620689655172
Total|1015||595||308|0.303448275862069
Pct 7334
Vote by Mail|819||220||118|0.144078144078144
Election Day|819||206||105|0.128205128205128
Total|819||426||223|0.272283272283272
Pct 7335
Vote by Mail|934||274||146|0.156316916488223
Election Day|934||289||146|0.156316916488223
Total|934||563||292|0.312633832976445
Pct 7336
Vote by Mail|954||287||147|0.154088050314465
Election Day|954||253||128|0.134171907756813
Total|954||540||275|0.288259958071279
Pct 7337
Vote by Mail|897||317||167|0.186176142697882
Election Day|897||168||85|0.0947603121516165
Total|897||485||252|0.280936454849498
Pct 7338
Vote by Mail|895||310||187|0.208938547486034
Election Day|895||138||70|0.0782122905027933
Total|895||448||257|0.287150837988827
Pct 7339
Vote by Mail|755||215||116|0.15364238410596
Election Day|755||176||89|0.117880794701987
Total|755||391||205|0.271523178807947
Pct 7341
Vote by Mail|853||189||102|0.11957796014068
Election Day|853||261||132|0.154747948417351
Total|853||450||234|0.27432590855803
Pct 7342
Vote by Mail|904||232||118|0.130530973451327
Election Day|904||395||200|0.221238938053097
Total|904||627||318|0.351769911504425
Pct 7343
Vote by Mail|704||172||87|0.123579545454545
Election Day|704||232||116|0.164772727272727
Total|704||404||203|0.288352272727273
Pct 7344
Vote by Mail|1064||291||151|0.141917293233083
Election Day|1064||316||160|0.150375939849624
Total|1064||607||311|0.292293233082707
Pct 7345
Vote by Mail|1114||309||158|0.141831238779174
Election Day|1114||338||171|0.153500897666068
Total|1114||647||329|0.295332136445242
Pct 7346
Vote by Mail|889||214||111|0.124859392575928
Election Day|889||252||126|0.141732283464567
Total|889||466||237|0.266591676040495
Pct 7347
Vote by Mail|1003||295||153|0.152542372881356
Election Day|1003||196||98|0.0977068793619143
Total|1003||491||251|0.25024925224327
Pct 7348
Vote by Mail|843||231||122|0.144721233689205
Election Day|843||200||100|0.118623962040332
Total|843||431||222|0.263345195729537
Pct 7349
Vote by Mail|912||298||157|0.172149122807018
Election Day|912||206||104|0.114035087719298
Total|912||504||261|0.286184210526316
Pct 7501
Vote by Mail|551||144||76|0.137931034482759
Election Day|551||180||90|0.163339382940109
Total|551||324||166|0.301270417422868
Pct 7502
Vote by Mail|789||200||107|0.135614702154626
Election Day|789||198||99|0.125475285171103
Total|789||398||206|0.261089987325729
Pct 7503
Vote by Mail|762||217||111|0.145669291338583
Election Day|762||199||100|0.131233595800525
Total|762||416||211|0.276902887139108
Pct 7504
Vote by Mail|488||134||72|0.147540983606557
Election Day|488||101||52|0.10655737704918
Total|488||235||124|0.254098360655738
Pct 7505
Vote by Mail|862||374||197|0.228538283062645
Election Day|862||190||96|0.111368909512761
Total|862||564||293|0.339907192575406
Pct 7506
Vote by Mail|1000||228||122|0.122
Election Day|1000||221||111|0.111
Total|1000||449||233|0.233
Pct 7507
Vote by Mail|956||219||118|0.123430962343096
Election Day|956||187||97|0.101464435146444
Total|956||406||215|0.22489539748954
Pct 7508
Vote by Mail|744||315||165|0.221774193548387
Election Day|744||201||103|0.138440860215054
Total|744||516||268|0.360215053763441
Pct 7509/7511
Vote by Mail|929||338||180|0.193756727664155
Election Day|929||288||145|0.156081808396125
Total|929||626||325|0.34983853606028
Pct 7512
Vote by Mail|600||188||103|0.171666666666667
Election Day|600||169||85|0.141666666666667
Total|600||357||188|0.313333333333333
Pct 7513
Vote by Mail|806||186||100|0.124069478908189
Election Day|806||215||108|0.133995037220844
Total|806||401||208|0.258064516129032
Pct 7514
Vote by Mail|916||204||110|0.120087336244541
Election Day|916||116||59|0.064410480349345
Total|916||320||169|0.184497816593886
Pct 7515
Vote by Mail|864||159||83|0.0960648148148148
Election Day|864||180||90|0.104166666666667
Total|864||339||173|0.200231481481481
Pct 7516
Vote by Mail|920||328||174|0.189130434782609
Election Day|920||235||118|0.128260869565217
Total|920||563||292|0.317391304347826
Pct 7517
Vote by Mail|868||247||128|0.147465437788018
Election Day|868||356||179|0.206221198156682
Total|868||603||307|0.3536866359447
Pct 7518
Vote by Mail|926||206||105|0.113390928725702
Election Day|926||368||185|0.199784017278618
Total|926||574||290|0.31317494600432
Pct 7519
Vote by Mail|715||127||66|0.0923076923076923
Election Day|715||272||136|0.19020979020979
Total|715||399||202|0.282517482517483
Pct 7521
Vote by Mail|779||197||100|0.128369704749679
Election Day|779||298||149|0.191270860077022
Total|779||495||249|0.319640564826701
Pct 7522
Vote by Mail|759||170||88|0.115942028985507
Election Day|759||316||158|0.208168642951252
Total|759||486||246|0.324110671936759
Pct 7523
Vote by Mail|744||152||78|0.104838709677419
Election Day|744||337||169|0.227150537634409
Total|744||489||247|0.331989247311828
Pct 7524
Vote by Mail|624||142||75|0.120192307692308
Election Day|624||204||102|0.163461538461538
Total|624||346||177|0.283653846153846
Pct 7525
Vote by Mail|764||144||73|0.0955497382198953
Election Day|764||188||94|0.12303664921466
Total|764||332||167|0.218586387434555
Pct 7526
Vote by Mail|988||254||134|0.135627530364372
Election Day|988||294||147|0.148785425101215
Total|988||548||281|0.284412955465587
Pct 7527/7528
Vote by Mail|710||165||91|0.128169014084507
Election Day|710||220||112|0.157746478873239
Total|710||385||203|0.285915492957746
Pct 7529
Vote by Mail|903||202||102|0.112956810631229
Election Day|903||370||185|0.204872646733112
Total|903||572||287|0.317829457364341
Pct 7531
Vote by Mail|873||155||79|0.0904925544100802
Election Day|873||264||132|0.151202749140893
Total|873||419||211|0.241695303550974
Pct 7532
Vote by Mail|835||192||100|0.119760479041916
Election Day|835||249||126|0.150898203592814
Total|835||441||226|0.270658682634731
Pct 7533
Vote by Mail|970||225||115|0.118556701030928
Election Day|970||371||186|0.191752577319588
Total|970||596||301|0.310309278350515
Pct 7534
Vote by Mail|903||203||103|0.1140642303433
Election Day|903||356||179|0.198228128460687
Total|903||559||282|0.312292358803987
Pct 7535
Vote by Mail|745||174||90|0.120805369127517
Election Day|745||305||155|0.208053691275168
Total|745||479||245|0.328859060402685
Pct 7536
Vote by Mail|833||178||92|0.110444177671068
Election Day|833||340||170|0.204081632653061
Total|833||518||262|0.31452581032413
Pct 7537
Vote by Mail|745||152||77|0.103355704697987
Election Day|745||296||148|0.198657718120805
Total|745||448||225|0.302013422818792
Pct 7538
Vote by Mail|751||194||99|0.131824234354194
Election Day|751||344||172|0.229027962716378
Total|751||538||271|0.360852197070573
Pct 7539
Vote by Mail|921||179||92|0.0998914223669924
Election Day|921||374||187|0.203040173724213
Total|921||553||279|0.302931596091205
Pct 7541
Vote by Mail|770||154||82|0.106493506493506
Election Day|770||317||160|0.207792207792208
Total|770||471||242|0.314285714285714
Pct 7542
Vote by Mail|824||169||85|0.103155339805825
Election Day|824||332||168|0.203883495145631
Total|824||501||253|0.307038834951456
Pct 7543
Vote by Mail|924||207||108|0.116883116883117
Election Day|924||276||138|0.149350649350649
Total|924||483||246|0.266233766233766
Pct 7544
Vote by Mail|899||251||128|0.14238042269188
Election Day|899||318||159|0.17686318131257
Total|899||569||287|0.319243604004449
Pct 7545
Vote by Mail|895||256||134|0.149720670391061
Election Day|895||293||147|0.164245810055866
Total|895||549||281|0.313966480446927
Pct 7546
Vote by Mail|953||203||105|0.110178384050367
Election Day|953||418||209|0.219307450157398
Total|953||621||314|0.329485834207765
Pct 7547
Vote by Mail|981||259||131|0.133537206931702
Election Day|981||343||171|0.174311926605505
Total|981||602||302|0.307849133537207
Pct 7548
Vote by Mail|1051||294||150|0.142721217887726
Election Day|1051||399||199|0.189343482397716
Total|1051||693||349|0.332064700285442
Pct 7549
Vote by Mail|806||265||138|0.1712158808933
Election Day|806||278||140|0.173697270471464
Total|806||543||278|0.344913151364764
Pct 7551
Vote by Mail|723||150||76|0.105117565698479
Election Day|723||341||171|0.236514522821577
Total|723||491||247|0.341632088520055
Pct 7552
Vote by Mail|685||184||95|0.138686131386861
Election Day|685||253||127|0.185401459854015
Total|685||437||222|0.324087591240876
Pct 7553 MB
Vote by Mail|191||71||38|0.198952879581152
Election Day|191||0||0|0
Total|191||71||38|0.198952879581152
Pct 7554
Vote by Mail|821||210||107|0.130328867235079
Election Day|821||354||177|0.215590742996346
Total|821||564||284|0.345919610231425
Pct 7555
Vote by Mail|872||246||126|0.144495412844037
Election Day|872||419||210|0.240825688073394
Total|872||665||336|0.385321100917431
Pct 7556/7557
Vote by Mail|966||310||158|0.163561076604555
Election Day|966||328||165|0.170807453416149
Total|966||638||323|0.334368530020704
Pct 7601
Vote by Mail|677||175||94|0.138847858197932
Election Day|677||176||89|0.131462333825702
Total|677||351||183|0.270310192023634
Pct 7602
Vote by Mail|886||221||119|0.13431151241535
Election Day|886||205||103|0.116252821670429
Total|886||426||222|0.250564334085779
Pct 7603
Vote by Mail|815||224||118|0.14478527607362
Election Day|815||335||171|0.209815950920245
Total|815||559||289|0.354601226993865
Pct 7604
Vote by Mail|944||224||116|0.122881355932203
Election Day|944||265||135|0.143008474576271
Total|944||489||251|0.265889830508475
Pct 7605
Vote by Mail|661||168||94|0.142208774583964
Election Day|661||125||64|0.0968229954614221
Total|661||293||158|0.239031770045386
Pct 7606
Vote by Mail|883||220||117|0.132502831257078
Election Day|883||159||81|0.0917327293318233
Total|883||379||198|0.224235560588901
Pct 7607
Vote by Mail|919||216||117|0.127312295973885
Election Day|919||200||100|0.108813928182807
Total|919||416||217|0.236126224156692
Pct 7608
Vote by Mail|380||111||65|0.171052631578947
Election Day|380||39||20|0.0526315789473684
Total|380||150||85|0.223684210526316
Pct 7609
Vote by Mail|884||294||179|0.202488687782805
Election Day|884||97||49|0.0554298642533937
Total|884||391||228|0.257918552036199
Pct 7611
