Date	Permanent Mail Issued	Military and Overseas Issued	Single Application Issued	Voting Center Issued	American Independent Issued	Democratic Issued	Green Issued	Libertarian Issued	No Party Preference Issued	No Party Preference (AI) Issued	No Party Preference (DEM) Issued	No Party Preference (LIB) Issued	Peace & Freedom Issued	Republican Issued	Permanent Mail Returned	Military and Overseas Returned	Single Application Returned	Voting Center Returned	American Independent Returned	Democratic Returned	Green Returned	Libertarian Returned	No Party Preference Returned	No Party Preference (AI) Returned	No Party Preference (DEM) Returned	No Party Preference (LIB) Returned	Peace & Freedom Returned	Republican Returned	Permanent Mail Challenged	Military and Overseas Challenged	Single Application Challenged	Voting Center Challenged	American Independent Challenged	Democratic Challenged	Green Challenged	Libertarian Challenged	No Party Preference Challenged	No Party Preference (AI) Challenged	No Party Preference (DEM) Challenged	No Party Preference (LIB) Challenged	Peace & Freedom Challenged	Republican Challenged	
"2020-01-13"	"0"	"2282"	"125"	"0"	"9"	"1459"	"29"	"6"	"638"	"2"	"122"	"1"	"6"	"135"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-14"	"0"	"2282"	"125"	"0"	"9"	"1459"	"29"	"6"	"638"	"2"	"122"	"1"	"6"	"135"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-15"	"330946"	"2285"	"20423"	"0"	"6566"	"212004"	"2165"	"2311"	"85314"	"944"	"18730"	"366"	"1097"	"24157"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-16"	"330946"	"2285"	"20423"	"0"	"6566"	"212004"	"2165"	"2311"	"85314"	"944"	"18730"	"366"	"1097"	"24157"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-17"	"330913"	"7423"	"20766"	"1"	"6624"	"215671"	"2221"	"2327"	"86533"	"948"	"18997"	"366"	"1102"	"24314"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-18"	"330913"	"7432"	"20766"	"1"	"6624"	"215678"	"2221"	"2327"	"86533"	"948"	"18999"	"366"	"1102"	"24314"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-19"	"330913"	"7432"	"20766"	"1"	"6624"	"215678"	"2221"	"2327"	"86533"	"948"	"18999"	"366"	"1102"	"24314"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-20"	"330913"	"7432"	"20766"	"1"	"6624"	"215678"	"2221"	"2327"	"86533"	"948"	"18999"	"366"	"1102"	"24314"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-21"	"330761"	"7442"	"20928"	"1"	"6624"	"215696"	"2221"	"2327"	"86533"	"949"	"19001"	"366"	"1102"	"24313"	"0"	"22"	"0"	"0"	"0"	"19"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-22"	"330622"	"7457"	"21079"	"0"	"6624"	"215715"	"2221"	"2327"	"86535"	"949"	"19004"	"366"	"1102"	"24315"	"0"	"26"	"0"	"0"	"0"	"23"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-23"	"330564"	"7460"	"21144"	"0"	"6624"	"215722"	"2221"	"2327"	"86536"	"950"	"19005"	"366"	"1102"	"24315"	"0"	"32"	"0"	"0"	"0"	"28"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"2020-01-24"	"330341"	"7453"	"21372"	"0"	"6624"	"215722"	"2221"	"2327"	"86534"	"950"	"19005"	"366"	"1102"	"24315"	"0"	"35"	"0"	"0"	"0"	"31"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"2020-01-25"	"330341"	"7453"	"21372"	"0"	"6624"	"215722"	"2221"	"2327"	"86534"	"950"	"19005"	"366"	"1102"	"24315"	"0"	"35"	"0"	"0"	"0"	"31"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"2020-01-26"	"330341"	"7453"	"21372"	"0"	"6624"	"215722"	"2221"	"2327"	"86534"	"950"	"19005"	"366"	"1102"	"24315"	"0"	"35"	"0"	"0"	"0"	"31"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"2020-01-27"	"330173"	"7468"	"21561"	"0"	"6625"	"215747"	"2221"	"2327"	"86535"	"950"	"19013"	"366"	"1102"	"24316"	"0"	"66"	"12"	"0"	"0"	"63"	"0"	"0"	"1"	"0"	"12"	"0"	"0"	"2"	"0"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"2020-01-28"	"330020"	"7474"	"21723"	"0"	"6625"	"215756"	"2221"	"2327"	"86537"	"950"	"19016"	"366"	"1102"	"24317"	"0"	"69"	"13"	"0"	"0"	"66"	"0"	"0"	"1"	"0"	"13"	"0"	"0"	"2"	"0"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"2020-01-29"	"329801"	"7478"	"21953"	"0"	"6625"	"215765"	"2221"	"2327"	"86539"	"950"	"19020"	"366"	"1102"	"24317"	"0"	"83"	"13"	"0"	"0"	"79"	"0"	"0"	"2"	"0"	"13"	"0"	"0"	"2"	"0"	"4"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"2020-01-30"	"329764"	"7483"	"21996"	"0"	"6626"	"215772"	"2221"	"2327"	"86540"	"951"	"19021"	"366"	"1102"	"24317"	"0"	"83"	"13"	"0"	"0"	"79"	"0"	"0"	"2"	"0"	"13"	"0"	"0"	"2"	"0"	"4"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"2020-01-31"	"329709"	"7484"	"22311"	"0"	"6627"	"215919"	"2222"	"2327"	"86545"	"958"	"19094"	"372"	"1104"	"24336"	"0"	"84"	"13"	"0"	"0"	"80"	"0"	"0"	"2"	"0"	"13"	"0"	"0"	"2"	"0"	"5"	"1"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"2020-02-02"	"329709"	"7484"	"22311"	"0"	"6627"	"215919"	"2222"	"2327"	"86545"	"958"	"19094"	"372"	"1104"	"24336"	"0"	"84"	"13"	"0"	"0"	"80"	"0"	"0"	"2"	"0"	"13"	"0"	"0"	"2"	"0"	"5"	"1"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"2020-02-03"	"337073"	"7523"	"25157"	"49"	"6845"	"222248"	"2262"	"2400"	"87861"	"1025"	"20723"	"394"	"1140"	"24904"	"0"	"136"	"24"	"0"	"0"	"128"	"0"	"0"	"5"	"0"	"23"	"0"	"0"	"4"	"0"	"11"	"1"	"0"	"0"	"9"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"
"2020-02-04"	"335699"	"7455"	"25466"	"81"	"6793"	"221753"	"2229"	"2387"	"87232"	"1019"	"20942"	"394"	"1133"	"24819"	"5"	"193"	"43"	"42"	"0"	"212"	"2"	"0"	"10"	"0"	"45"	"1"	"0"	"13"	"0"	"10"	"1"	"0"	"0"	"9"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"2020-02-05"	"335863"	"7470"	"25884"	"127"	"6789"	"222400"	"2220"	"2386"	"87049"	"1014"	"21123"	"394"	"1132"	"24837"	"2014"	"207"	"388"	"67"	"37"	"1438"	"19"	"12"	"355"	"14"	"361"	"7"	"9"	"424"	"2"	"9"	"0"	"0"	"0"	"9"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"
"2020-02-06"	"335960"	"7477"	"26447"	"160"	"6793"	"222875"	"2224"	"2386"	"87083"	"1019"	"21272"	"395"	"1136"	"24861"	"4106"	"214"	"692"	"107"	"83"	"2772"	"26"	"26"	"711"	"37"	"634"	"15"	"13"	"802"	"10"	"7"	"0"	"0"	"0"	"9"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"4"
"2020-02-07"	"336992"	"7494"	"27103"	"225"	"6854"	"223725"	"2249"	"2404"	"87534"	"1023"	"21483"	"397"	"1138"	"25007"	"6177"	"240"	"1034"	"129"	"117"	"4159"	"38"	"35"	"1054"	"63"	"937"	"21"	"16"	"1140"	"18"	"7"	"1"	"0"	"1"	"15"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"4"
"2020-02-08"	"336973"	"7494"	"27102"	"225"	"6854"	"223715"	"2249"	"2404"	"87527"	"1023"	"21482"	"397"	"1138"	"25005"	"6177"	"240"	"1034"	"129"	"117"	"4159"	"38"	"35"	"1054"	"63"	"937"	"21"	"16"	"1140"	"18"	"7"	"1"	"0"	"1"	"15"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"4"
"2020-02-09"	"336942"	"7494"	"27100"	"225"	"6852"	"223697"	"2249"	"2404"	"87518"	"1023"	"21480"	"397"	"1138"	"25003"	"6177"	"240"	"1034"	"129"	"117"	"4159"	"38"	"35"	"1054"	"63"	"937"	"21"	"16"	"1140"	"18"	"7"	"1"	"0"	"1"	"15"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"4"
"2020-02-10"	"338625"	"7508"	"28259"	"292"	"6917"	"225474"	"2270"	"2428"	"87993"	"1025"	"21850"	"398"	"1142"	"25187"	"9623"	"282"	"1575"	"167"	"183"	"6420"	"62"	"61"	"1614"	"88"	"1419"	"31"	"24"	"1745"	"45"	"7"	"3"	"0"	"1"	"25"	"0"	"2"	"18"	"0"	"2"	"0"	"0"	"7"
"2020-02-11"	"339075"	"7513"	"28901"	"350"	"6926"	"226207"	"2270"	"2430"	"88111"	"1033"	"22075"	"398"	"1145"	"25244"	"11389"	"361"	"1853"	"203"	"207"	"7725"	"68"	"71"	"1909"	"102"	"1668"	"39"	"32"	"1985"	"50"	"8"	"3"	"0"	"1"	"27"	"0"	"2"	"23"	"0"	"1"	"0"	"0"	"7"
"2020-02-12"	"340716"	"7548"	"29302"	"409"	"6964"	"227648"	"2277"	"2443"	"88497"	"1033"	"22218"	"400"	"1150"	"25345"	"16026"	"395"	"2549"	"255"	"271"	"10912"	"98"	"91"	"2698"	"134"	"2274"	"53"	"45"	"2649"	"64"	"7"	"5"	"0"	"1"	"35"	"0"	"2"	"25"	"1"	"2"	"0"	"0"	"10"
"2020-02-13"	"340328"	"7550"	"29927"	"475"	"6968"	"227892"	"2272"	"2435"	"88309"	"1037"	"22442"	"400"	"1150"	"25374"	"18385"	"422"	"2966"	"301"	"315"	"12601"	"108"	"103"	"3065"	"154"	"2646"	"62"	"52"	"2968"	"74"	"9"	"8"	"1"	"1"	"40"	"0"	"2"	"28"	"1"	"7"	"0"	"1"	"12"
"2020-02-14"	"339154"	"7539"	"30049"	"590"	"6945"	"227394"	"2259"	"2422"	"87988"	"1036"	"22447"	"399"	"1145"	"25296"	"20308"	"435"	"3259"	"355"	"335"	"14063"	"118"	"112"	"3371"	"170"	"2886"	"74"	"56"	"3172"	"80"	"10"	"9"	"0"	"1"	"43"	"0"	"2"	"31"	"1"	"7"	"0"	"1"	"13"
"2020-02-15"	"339667"	"7542"	"30521"	"590"	"6960"	"228019"	"2257"	"2424"	"88089"	"1045"	"22623"	"403"	"1147"	"25352"	"20311"	"470"	"3264"	"355"	"335"	"14095"	"118"	"112"	"3376"	"170"	"2891"	"74"	"56"	"3173"	"81"	"11"	"9"	"0"	"1"	"44"	"0"	"2"	"32"	"1"	"7"	"0"	"1"	"13"
"2020-02-16"	"339627"	"7540"	"30521"	"590"	"6958"	"227994"	"2257"	"2424"	"88076"	"1045"	"22623"	"403"	"1147"	"25350"	"20311"	"470"	"3264"	"355"	"335"	"14095"	"118"	"112"	"3376"	"170"	"2891"	"74"	"56"	"3173"	"81"	"11"	"9"	"0"	"1"	"44"	"0"	"2"	"32"	"1"	"7"	"0"	"1"	"13"
"2020-02-17"	"339547"	"7540"	"30521"	"590"	"6957"	"227946"	"2256"	"2424"	"88051"	"1045"	"22623"	"403"	"1147"	"25345"	"20311"	"470"	"3264"	"355"	"335"	"14095"	"118"	"112"	"3376"	"170"	"2891"	"74"	"56"	"3173"	"81"	"11"	"9"	"0"	"1"	"44"	"0"	"2"	"32"	"1"	"7"	"0"	"1"	"13"
"2020-02-18"	"341668"	"7569"	"31055"	"776"	"6999"	"230165"	"2251"	"2424"	"88316"	"1045"	"22827"	"399"	"1148"	"25493"	"25450"	"517"	"4120"	"449"	"417"	"17937"	"146"	"132"	"4145"	"201"	"3608"	"84"	"61"	"3805"	"89"	"12"	"9"	"1"	"1"	"53"	"0"	"2"	"31"	"1"	"7"	"0"	"1"	"15"
"2020-02-19"	"340803"	"7560"	"31599"	"863"	"6976"	"230127"	"2235"	"2419"	"88189"	"1037"	"22818"	"396"	"1148"	"25478"	"29956"	"619"	"4901"	"572"	"487"	"21462"	"180"	"145"	"4775"	"227"	"4247"	"95"	"66"	"4364"	"100"	"8"	"10"	"1"	"1"	"57"	"0"	"1"	"32"	"1"	"7"	"0"	"1"	"19"
"2020-02-20"	"342170"	"7597"	"33121"	"953"	"7023"	"231971"	"2238"	"2430"	"88505"	"1039"	"23507"	"397"	"1148"	"25583"	"32980"	"686"	"5416"	"646"	"529"	"23847"	"198"	"152"	"5204"	"250"	"4656"	"105"	"72"	"4714"	"121"	"9"	"13"	"1"	"1"	"79"	"0"	"1"	"32"	"1"	"10"	"0"	"1"	"19"
"2020-02-21"	"341998"	"7600"	"33307"	"1101"	"7018"	"232158"	"2236"	"2426"	"88428"	"1029"	"23583"	"396"	"1147"	"25585"	"35811"	"717"	"5866"	"723"	"566"	"26058"	"217"	"159"	"5624"	"263"	"5008"	"110"	"79"	"5032"	"111"	"12"	"12"	"1"	"1"	"73"	"1"	"1"	"31"	"1"	"9"	"0"	"1"	"18"
"2020-02-22"	"341737"	"7596"	"33327"	"1241"	"7005"	"232174"	"2228"	"2425"	"88343"	"1029"	"23592"	"393"	"1144"	"25568"	"38379"	"748"	"6333"	"850"	"605"	"28131"	"221"	"169"	"6016"	"273"	"5368"	"121"	"84"	"5321"	"126"	"11"	"15"	"1"	"1"	"80"	"1"	"1"	"37"	"1"	"10"	"0"	"1"	"21"
"2020-02-23"	"341558"	"7596"	"33470"	"1367"	"7004"	"232256"	"2224"	"2425"	"88335"	"1029"	"23613"	"393"	"1144"	"25568"	"38398"	"748"	"6339"	"966"	"606"	"28239"	"221"	"169"	"6021"	"274"	"5388"	"121"	"84"	"5327"	"127"	"11"	"15"	"3"	"1"	"82"	"1"	"1"	"38"	"1"	"10"	"0"	"1"	"21"
"2020-02-24"	"341441"	"7619"	"34513"	"1543"	"7003"	"232951"	"2226"	"2428"	"88324"	"1031"	"24017"	"394"	"1146"	"25596"	"40716"	"820"	"6756"	"1091"	"636"	"30151"	"229"	"180"	"6405"	"283"	"5735"	"123"	"86"	"5554"	"125"	"10"	"13"	"3"	"1"	"82"	"1"	"1"	"35"	"1"	"9"	"0"	"1"	"20"
"2020-02-25"	"340943"	"7623"	"35129"	"1747"	"6982"	"233221"	"2216"	"2422"	"88180"	"1025"	"24260"	"393"	"1143"	"25600"	"47646"	"974"	"7919"	"1246"	"711"	"35886"	"269"	"207"	"7372"	"307"	"6667"	"133"	"93"	"6139"	"148"	"11"	"23"	"3"	"1"	"102"	"1"	"1"	"44"	"1"	"18"	"0"	"0"	"17"
"2020-02-26"	"340497"	"7626"	"35462"	"2038"	"6967"	"233415"	"2204"	"2419"	"88035"	"1025"	"24443"	"393"	"1139"	"25583"	"52191"	"1039"	"8662"	"1420"	"761"	"39649"	"283"	"222"	"8029"	"328"	"7251"	"143"	"102"	"6543"	"159"	"11"	"18"	"4"	"2"	"105"	"1"	"1"	"51"	"1"	"13"	"0"	"0"	"18"
"2020-02-27"	"340169"	"7635"	"35258"	"2329"	"6942"	"233426"	"2191"	"2413"	"87840"	"1014"	"24479"	"391"	"1139"	"25556"	"57684"	"1088"	"9583"	"1693"	"815"	"44358"	"312"	"237"	"8733"	"340"	"7970"	"156"	"113"	"7013"	"150"	"12"	"17"	"4"	"2"	"105"	"1"	"1"	"47"	"0"	"12"	"0"	"0"	"15"
"2020-02-28"	"339846"	"7643"	"35062"	"2791"	"6919"	"233621"	"2178"	"2409"	"87632"	"1007"	"24513"	"393"	"1133"	"25537"	"63267"	"1149"	"10615"	"1962"	"878"	"49295"	"330"	"258"	"9420"	"363"	"8719"	"167"	"120"	"7442"	"167"	"12"	"18"	"4"	"2"	"122"	"1"	"1"	"47"	"0"	"13"	"0"	"0"	"15"
"2020-02-29"	"339476"	"7646"	"34820"	"3301"	"6901"	"233799"	"2169"	"2406"	"87407"	"1001"	"24537"	"390"	"1131"	"25505"	"69401"	"1201"	"11664"	"2415"	"948"	"54764"	"359"	"269"	"10163"	"379"	"9585"	"173"	"132"	"7908"	"167"	"15"	"15"	"4"	"2"	"131"	"1"	"1"	"44"	"0"	"11"	"0"	"0"	"11"
"2020-03-01"	"339283"	"7642"	"34830"	"3940"	"6895"	"234192"	"2167"	"2404"	"87357"	"1002"	"24657"	"389"	"1128"	"25504"	"69661"	"1229"	"11715"	"2904"	"949"	"55430"	"362"	"272"	"10183"	"382"	"9698"	"173"	"132"	"7927"	"166"	"15"	"15"	"5"	"2"	"131"	"1"	"1"	"44"	"0"	"11"	"0"	"0"	"11"
"2020-03-02"	"338708"	"7634"	"34731"	"4920"	"6882"	"234679"	"2154"	"2402"	"87087"	"999"	"24783"	"389"	"1127"	"25491"	"75816"	"1309"	"12723"	"3544"	"1001"	"61211"	"392"	"294"	"10891"	"400"	"10552"	"181"	"141"	"8328"	"188"	"16"	"16"	"4"	"3"	"145"	"2"	"2"	"47"	"0"	"13"	"0"	"0"	"12"
"2020-03-03"	"336715"	"7629"	"34811"	"7553"	"6836"	"235882"	"2136"	"2390"	"86324"	"992"	"25171"	"386"	"1124"	"25467"	"94486"	"1502"	"15687"	"4516"	"1164"	"77791"	"471"	"376"	"13102"	"454"	"13030"	"203"	"164"	"9435"	"258"	"18"	"23"	"8"	"3"	"207"	"2"	"2"	"63"	"0"	"15"	"0"	"0"	"15"
