CONTEST_ID	CONTEST_ORDER	CANDIDATE_ORDER	TOTAL	CANDIDATE_PARTY_ID	CANDIDATE_ID	VOTE_FOR	CONTEST_TYPE	CANDIDATE_TYPE	TOTAL_PRECINCTS	PROCESSED_DONE	PROCESSED_STARTED	IS_WRITEIN_CANDIDATE	CONTEST_FULL_NAME	CANDIDATE_FULL_NAME	CONTEST_TOTAL	undervote	overvote	IS_WINNER	cf_cand_class	IS_PRECINCT_LEVEL	PRECINCT_NAME	is_visible
15	26	15	46601		113	3	0	0	604	604	604	0	Member, Board of Education	JOHN TRASVIÑA	817920	282075	16041	0	candidate	0	 	0
15	26	16	30496		114	3	0	0	604	604	604	0	Member, Board of Education	LENETTE THOMPSON	817920	282075	16041	0	candidate	0	 	0
15	26	17	107989		115	3	0	0	604	604	604	0	Member, Board of Education	FAAUUGA MOLIGA	817920	282075	16041	1	winner	0	 	0
15	26	18	17540		116	3	0	0	604	604	604	0	Member, Board of Education	MIA SATYA	817920	282075	16041	0	candidate	0	 	0
15	26	19	12018		117	3	0	0	604	604	604	0	Member, Board of Education	ROGER SINASOHN	817920	282075	16041	0	candidate	0	 	0
15	26	20	1551		1	3	0	3	604	604	604	1	Member, Board of Education	WRITE-IN	817920	282075	16041	0	candidate	0	 	0
27	27	1	151356		120	3	0	0	604	604	604	0	Member, Community College Board	JOHN RIZZO	627845	487621	2760	1	winner	0	 	0
27	27	2	187792		121	3	0	0	604	604	604	0	Member, Community College Board	BRIGITTE DAVILA	627845	487621	2760	1	winner	0	 	0
27	27	3	101368		122	3	0	0	604	604	604	0	Member, Community College Board	VICTOR OLIVIERI	627845	487621	2760	0	candidate	0	 	0
27	27	4	184956		123	3	0	0	604	604	604	0	Member, Community College Board	THEA SELBY	627845	487621	2760	1	winner	0	 	0
27	27	5	2373		25	3	0	3	604	604	604	1	Member, Community College Board	WRITE-IN	627845	487621	2760	0	candidate	0	 	0
28	28	1	24525		124	1	0	0	266	266	266	0	BART Director, District 8	EVA I. CHAO	124809	39920	1610	0	candidate	0	 	0
28	28	2	16527		125	1	0	0	266	266	266	0	BART Director, District 8	BRIAN J. LARKIN	124809	39920	1610	0	candidate	0	 	0
28	28	3	14688		126	1	0	0	266	266	266	0	BART Director, District 8	JONATHAN LYENS	124809	39920	1610	0	candidate	0	 	0
28	28	4	39997		127	1	0	0	266	266	266	0	BART Director, District 8	JANICE LI	124809	39920	1610	1	winner	0	 	0
28	28	5	23659		128	1	0	0	266	266	266	0	BART Director, District 8	MELANIE NUTTER	124809	39920	1610	0	candidate	0	 	0
28	28	6	5070		129	1	0	0	266	266	266	0	BART Director, District 8	WILLIAM WALKER	124809	39920	1610	0	candidate	0	 	0
28	28	7	343		28	1	0	3	266	266	266	1	BART Director, District 8	WRITE-IN	124809	39920	1610	0	candidate	0	 	0
29	29	1	235187		130	1	0	0	604	604	604	0	Assessor-Recorder	CARMEN CHU	316116	52051	411	1	winner	0	 	0
29	29	2	79674		131	1	0	0	604	604	604	0	Assessor-Recorder	PAUL BELLAR	316116	52051	411	0	candidate	0	 	0
29	29	3	1255		29	1	0	3	604	604	604	1	Assessor-Recorder	WRITE-IN	316116	52051	411	0	candidate	0	 	0
32	30	1	286688		132	1	0	0	604	604	604	0	Public Defender	JEFF ADACHI	291358	77150	70	1	winner	0	 	0
32	30	2	4670		32	1	0	3	604	604	604	1	Public Defender	WRITE-IN	291358	77150	70	0	candidate	0	 	0
35	31	1	13617		133	1	0	0	62	62	62	0	Board of Supervisors, District 2	NICK JOSEFOWITZ	35315	4515	76	0	candidate	0	 	0
35	31	2	3095		134	1	0	0	62	62	62	0	Board of Supervisors, District 2	JOHN DENNIS	35315	4515	76	0	candidate	0	 	0
35	31	3	4132		135	1	0	0	62	62	62	0	Board of Supervisors, District 2	SCHUYLER HUDAK	35315	4515	76	0	candidate	0	 	0
35	31	4	14378		136	1	0	0	62	62	62	0	Board of Supervisors, District 2	CATHERINE STEFANI	35315	4515	76	1	winner	0	 	0
35	31	5	93		35	1	0	3	62	62	62	1	Board of Supervisors, District 2	WRITE-IN	35315	4515	76	0	candidate	0	 	0
36	32	1	7423		137	1	0	0	48	48	48	0	Board of Supervisors, District 4	JESSICA HO	28397	2840	175	0	candidate	0	 	0
36	32	2	511		138	1	0	0	48	48	48	0	Board of Supervisors, District 4	ADAM KIM	28397	2840	175	0	candidate	0	 	0
36	32	3	848		139	1	0	0	48	48	48	0	Board of Supervisors, District 4	TUAN NGUYEN	28397	2840	175	0	candidate	0	 	0
36	32	4	2435		140	1	0	0	48	48	48	0	Board of Supervisors, District 4	ARTHUR TOM	28397	2840	175	0	candidate	0	 	0
36	32	5	3479		141	1	0	0	48	48	48	0	Board of Supervisors, District 4	TREVOR MCNEIL	28397	2840	175	0	candidate	0	 	0
36	32	6	10288		142	1	0	0	48	48	48	0	Board of Supervisors, District 4	GORDON MAR	28397	2840	175	1	winner	0	 	0
36	32	7	1176		143	1	0	0	48	48	48	0	Board of Supervisors, District 4	MIKE MURPHY	28397	2840	175	0	candidate	0	 	0
36	32	8	2169		144	1	0	0	48	48	48	0	Board of Supervisors, District 4	LOU ANN BASSAN	28397	2840	175	0	candidate	0	 	0
36	32	9	68		36	1	0	3	48	48	48	1	Board of Supervisors, District 4	WRITE-IN	28397	2840	175	0	candidate	0	 	0
37	33	1	6237		145	1	0	0	48	48	48	0	Board of Supervisors, District 6	CHRISTINE JOHNSON	25338	3460	74	0	candidate	0	 	0
37	33	2	14249		146	1	0	0	48	48	48	0	Board of Supervisors, District 6	MATT HANEY	25338	3460	74	1	winner	0	 	0
37	33	3	4759		147	1	0	0	48	48	48	0	Board of Supervisors, District 6	SONJA TRAUSS	25338	3460	74	0	candidate	0	 	0
37	33	4	93		37	1	0	3	48	48	48	1	Board of Supervisors, District 6	WRITE-IN	25338	3460	74	0	candidate	0	 	0
38	34	1	3554		148	1	0	0	71	71	71	0	Board of Supervisors, District 8	LAWRENCE ''STARK'' DAGESSE	42079	5933	37	0	candidate	0	 	0
38	34	2	38292		149	1	0	0	71	71	71	0	Board of Supervisors, District 8	RAFAEL MANDELMAN	42079	5933	37	1	winner	0	 	0
38	34	3	233		38	1	0	3	71	71	71	1	Board of Supervisors, District 8	WRITE-IN	42079	5933	37	0	candidate	0	 	0
39	35	1	799		150	1	0	0	53	53	53	0	Board of Supervisors, District 10	ASALE CHANDLER	23169	2936	152	0	candidate	0	 	0
39	35	2	1304		151	1	0	0	53	53	53	0	Board of Supervisors, District 10	UZURI PEASE-GREENE	23169	2936	152	0	candidate	0	 	0
39	35	3	5643		152	1	0	0	53	53	53	0	Board of Supervisors, District 10	TONY KELLY	23169	2936	152	0	candidate	0	 	0
39	35	4	9550		153	1	0	0	53	53	53	0	Board of Supervisors, District 10	SHAMANN WALTON	23169	2936	152	1	winner	0	 	0
39	35	5	4800		154	1	0	0	53	53	53	0	Board of Supervisors, District 10	THEO ELLINGTON	23169	2936	152	0	candidate	0	 	0
39	35	6	954		155	1	0	0	53	53	53	0	Board of Supervisors, District 10	GLORIA BERRY	23169	2936	152	0	candidate	0	 	0
39	35	7	89		39	1	0	3	53	53	53	1	Board of Supervisors, District 10	WRITE-IN	23169	2936	152	0	candidate	0	 	0
39	35	8	30		157	1	0	9	53	53	53	0	Board of Supervisors, District 10	WRITE-IN NEO VEAVEA	23169	2936	152	0	candidate	0	 	0
40	36	1	263769		40	1	4	4	604	604	604	0	State Proposition 1	Yes	353151	18594	161	1	winner	0	 	0
40	36	2	89382		41	1	4	4	604	604	604	0	State Proposition 1	No	353151	18594	161	0	candidate	0	 	0
41	37	1	281389		42	1	4	4	604	604	604	0	State Proposition 2	Yes	353552	18230	124	1	winner	0	 	0
41	37	2	72163		43	1	4	4	604	604	604	0	State Proposition 2	No	353552	18230	124	0	candidate	0	 	0
42	38	1	207164		44	1	4	4	604	604	604	0	State Proposition 3	Yes	345210	26417	279	1	winner	0	 	0
42	38	2	138046		45	1	4	4	604	604	604	0	State Proposition 3	No	345210	26417	279	0	candidate	0	 	0
43	39	1	253202		46	1	4	4	604	604	604	0	State Proposition 4	Yes	347639	24028	239	1	winner	0	 	0
43	39	2	94437		47	1	4	4	604	604	604	0	State Proposition 4	No	347639	24028	239	0	candidate	0	 	0
44	40	1	86130		48	1	4	4	604	604	604	0	State Proposition 5	Yes	346248	25364	294	0	candidate	0	 	0
44	40	2	260118		49	1	4	4	604	604	604	0	State Proposition 5	No	346248	25364	294	1	winner	0	 	0
45	41	1	60002		50	1	4	4	604	604	604	0	State Proposition 6	Yes	351662	19912	332	0	candidate	0	 	0
45	41	2	291660		51	1	4	4	604	604	604	0	State Proposition 6	No	351662	19912	332	1	winner	0	 	0
46	42	1	233508		52	1	4	4	604	604	604	0	State Proposition 7	Yes	348126	23666	114	1	winner	0	 	0
46	42	2	114618		53	1	4	4	604	604	604	0	State Proposition 7	No	348126	23666	114	0	candidate	0	 	0
47	43	1	202728		54	1	4	4	604	604	604	0	State Proposition 8	Yes	352227	20107	232	1	winner	0	 	0
47	43	2	149499		55	1	4	4	604	604	604	0	State Proposition 8	No	352227	20107	232	0	candidate	0	 	0
48	44	1	190911		56	1	4	4	604	604	604	0	State Proposition 10	Yes	360438	11904	224	1	winner	0	 	0
48	44	2	169527		57	1	4	4	604	604	604	0	State Proposition 10	No	360438	11904	224	0	candidate	0	 	0
49	45	1	135874		58	1	4	4	604	604	604	0	State Proposition 11	Yes	350237	22063	266	0	candidate	0	 	0
49	45	2	214363		59	1	4	4	604	604	604	0	State Proposition 11	No	350237	22063	266	1	winner	0	 	0
50	46	1	256166		60	1	4	4	604	604	604	0	State Proposition 12	Yes	353681	18717	168	1	winner	0	 	0
50	46	2	97515		61	1	4	4	604	604	604	0	State Proposition 12	No	353681	18717	168	0	candidate	0	 	0
51	47	1	288146		62	1	4	4	604	604	604	0	Local Measure A	Yes	348422	23854	290	1	winner	0	 	0
51	47	2	60276		63	1	4	4	604	604	604	0	Local Measure A	No	348422	23854	290	0	candidate	0	 	0
52	48	1	186758		64	1	4	4	604	604	604	0	Local Measure B	Yes	324350	48069	147	1	winner	0	 	0
52	48	2	137592		65	1	4	4	604	604	604	0	Local Measure B	No	324350	48069	147	0	candidate	0	 	0
53	49	1	215491		66	1	4	4	604	604	604	0	Local Measure C	Yes	351326	20958	282	1	winner	0	 	0
53	49	2	135835		67	1	4	4	604	604	604	0	Local Measure C	No	351326	20958	282	0	candidate	0	 	0
54	50	1	227250		68	1	4	4	604	604	604	0	Local Measure D	Yes	346065	26332	169	1	winner	0	 	0
54	50	2	118815		69	1	4	4	604	604	604	0	Local Measure D	No	346065	26332	169	0	candidate	0	 	0
55	51	1	258343		70	1	4	4	604	604	604	0	Local Measure E	Yes	343928	28488	150	1	winner	0	 	0
55	51	2	85585		71	1	4	4	604	604	604	0	Local Measure E	No	343928	28488	150	0	candidate	0	 	0
