Quick Hash v2.6.3 (c) 2011-2015 - The easy and convenient way to hash data in both Linux, Apple Mac and Windows. Log generated: 11/20/2018 15:59:44
,"File Name",Path,"Hash Value","File Size (on Disk)",Duplicate?
19,20181120_defender.html,E:\REPORTS_RESULTS\20181120\defender\,F7B8C1D502929397D5110C1BE0C070ACFBF8C0950B65B24A8BB29344E4908C88E9562678BEB0BA18A07A14FE295D94D8CF2B214B053165BAB8E664323AFB6DCA,"2670 bytes (2.61 KiB)",
20,summary_report.xml,E:\REPORTS_RESULTS\20181120\defender\,2A0970C0C3ED2DCD5E01EDF952817AC3B985A7923EF8394076228F2304A645C80952D4CDAF8F4600C11569EF0C4154A7DF5219327CEE273E2D0C69E92EA3D68D,"3524 bytes (3.44 KiB)",
21,default.css,E:\REPORTS_RESULTS\20181120\defender\,F822D939F5BA709C3FFA3C2098D2B862842E7CB2B3ECB40FBDA95BC5BC6F6B078DD353D0BF05C629351FCCA50B9B72CBAB970ECF6B0312CE9F5D21819D2FD957,"4192 bytes (4.09 KiB)",
22,20181120_defender_ballotimage.txt,E:\REPORTS_RESULTS\20181120\defender\,3F8F6F29189792B4C5EB6837A86ECEE07F58F749BA5DCA5686DDE4DC2DDCA057543479FD063A8FB7B8502D31C3929A02E37D7291AF62C633CE93AA4E659EE68F,"51915636 bytes (49.51 MiB)",
23,20181120_d2.xls,E:\REPORTS_RESULTS\20181120\d2\,6B9815DCAA7927DC928AAC542FD8500966B24CFF26855AEA29D19EEAE083EE611F7604950009E14AF2D80EA43204BD02EF3712E407ABAE3BFDB64369A6959DB2,"36512 bytes (35.66 KiB)",
24,20181120_d2.pdf,E:\REPORTS_RESULTS\20181120\d2\,F290C474BB541AEEC04F8C420EE83D631A1B94AAB6A167085FB92AB8342BCD76DBA28166535CD60B7F99226A49210E16A6E794B3D446D50200923313A6A024CB,"40575 bytes (39.62 KiB)",
25,20181120_d2.html,E:\REPORTS_RESULTS\20181120\d2\,69724C6017AB5BA4F38C6A89065C25F4968E8B9A92B33858224405E92E6148DA79CCBF2AD7CD1A845FB93A9CA783484DDB16538801200763B2D87CD0D7D6CAC4,"7988 bytes (7.8 KiB)",
26,summary_report.xml,E:\REPORTS_RESULTS\20181120\d2\,734798A138FF8D5A294829A9A41A836B920D21CB2300387538C01379E383CCF0DA56235E1D383328630BD3590D8184F597ED9B2E646FA06F6B0A6FF00D198E7E,"14334 bytes (14 KiB)",
27,default.css,E:\REPORTS_RESULTS\20181120\d2\,F822D939F5BA709C3FFA3C2098D2B862842E7CB2B3ECB40FBDA95BC5BC6F6B078DD353D0BF05C629351FCCA50B9B72CBAB970ECF6B0312CE9F5D21819D2FD957,"4192 bytes (4.09 KiB)",
28,20181120_d2_ballotimage.txt,E:\REPORTS_RESULTS\20181120\d2\,24A10B40CD9426784C8784802EA316D79539ED94E20E23870788F874F7172CBDF452263F1F68738FC23EC595E8B561360ED15A87552D39AD291227AC87CEE1C4,"5618286 bytes (5.36 MiB)",
29,20181120_d4.xls,E:\REPORTS_RESULTS\20181120\d4\,3D6E425F0A4D4D4BABB556678A3A411476A8B5B840B9B634BD28B98706AA5E9421618EB21BBE0DDB0A4041DA24B915CAA06DAEFE1D657B4E2B4F2AB1BA6114F5,"91372 bytes (89.23 KiB)",
30,20181120_d4.pdf,E:\REPORTS_RESULTS\20181120\d4\,7DABF51A0844BBFA07A0481D66ECC37BE6E416E246CA96B29832D2ED4F5B31FB91D5479FF0D89A14D060BE351461662D855673F71D8F7CE4EB548F1699ABC1A6,"109705 bytes (107.13 KiB)",
31,20181120_d4.html,E:\REPORTS_RESULTS\20181120\d4\,A65ED1E6B79F670C3DE4D0E99C874153EE7538DF8FBDDAE3998FE70F912C005579EE8AE68DBBEBED9C9F32EBCCA37C0DAFA45DCC7A004B0A0BF6CD094DAD1128,"18423 bytes (17.99 KiB)",
32,summary_report.xml,E:\REPORTS_RESULTS\20181120\d4\,6A0E3C103A6BDA1CF59AF9E1CFDAFB37439AB81C8D14C4BB3659629C7251C679974E99660712FB0CE00E5677C2C9359168616699EEF036223E272FC6DF03F889,"39046 bytes (38.13 KiB)",
33,default.css,E:\REPORTS_RESULTS\20181120\d4\,F822D939F5BA709C3FFA3C2098D2B862842E7CB2B3ECB40FBDA95BC5BC6F6B078DD353D0BF05C629351FCCA50B9B72CBAB970ECF6B0312CE9F5D21819D2FD957,"4192 bytes (4.09 KiB)",
34,20181120_d4_ballotimage.txt,E:\REPORTS_RESULTS\20181120\d4\,9F7EA5D41DD8D81D6D0C4D8512F9763366C3D712B55A8ECA5D7F55688D021D8B3D69976AE6AD7A2C5BBB84696EEF4FAA04A81AE2EB4B8CF3DF2C0EBCB3C58F6A,"4426977 bytes (4.22 MiB)",
35,20181120_d6.xls,E:\REPORTS_RESULTS\20181120\d6\,CC87D0A93AE6FE5C2928FA8D232E6A4D8603A54FD16B2565BCD0DFBB56FD5EC0443F543FD3CA4D2477B2FC043764F5CCC45C885CDA849EF187F646C76BC9FA3F,"25624 bytes (25.02 KiB)",
36,20181120_d6.pdf,E:\REPORTS_RESULTS\20181120\d6\,8120E9B5C91051578FCC654B72C0568FEF0F953AA417845938E732A40360E0B788FB827B4C0491CA0DC308A0C55013C1A0B8ED7ACD9A20EBF99AED8BCA238AF5,"26274 bytes (25.66 KiB)",
37,20181120_d6.html,E:\REPORTS_RESULTS\20181120\d6\,BFC8E586FD3AA57B0F2B35F54032735942D8CE273E840B67BF8751A08BC290120234CF0A7BDD18B1E27A5A2D124A4764C7DF90A7D99E9CFE75BA3A6C8AE1F9F9,"5972 bytes (5.83 KiB)",
38,summary_report.xml,E:\REPORTS_RESULTS\20181120\d6\,13AA8DA69910D3BA2FA5126A69F8918FF64CFEB7D896B6FA1F6FB32C31943B1031E43B32F0BDBA84949BBF7643880162E505B4D9007D2BB38144F2ABB5D5A8E3,"9989 bytes (9.75 KiB)",
39,default.css,E:\REPORTS_RESULTS\20181120\d6\,F822D939F5BA709C3FFA3C2098D2B862842E7CB2B3ECB40FBDA95BC5BC6F6B078DD353D0BF05C629351FCCA50B9B72CBAB970ECF6B0312CE9F5D21819D2FD957,"4192 bytes (4.09 KiB)",
40,20181120_d6_ballotimage.txt,E:\REPORTS_RESULTS\20181120\d6\,38C61940519547CDEA90AC3702940F140BB7B0E9A8C473A31B47ED693C630F4C56A6CB1F73994995CDF1D8ECC1C6EA50734D4DEDE8A9A06B54BF0CD809868BF5,"4064043 bytes (3.88 MiB)",
41,20181120_d8.xls,E:\REPORTS_RESULTS\20181120\d8\,18AF9F2449B9AF828F0248EA620040483984710091EB4E95AA99F00876507835D309E18C44DCFF2CF4FBFA6205A2849656C893BFCE588197D0259E4E602A9E2F,"16120 bytes (15.74 KiB)",
42,20181120_d8.pdf,E:\REPORTS_RESULTS\20181120\d8\,B1C72F50833A3C81691FD351B2F89B0D10060494B686CD20A8BF62763707F57C80299CD6D29480352BB857C9D528EC0ECF821EA1C7C66D96A074E99A24C795B9,"14060 bytes (13.73 KiB)",
43,20181120_d8.html,E:\REPORTS_RESULTS\20181120\d8\,1471E6AD915EC6078450B704D476AF8FE172D653CBB047B34B9B52C20F9309C07981124FCE8EBD41CD15EC1A1771F7C96A27E5E2C696CC0C61E9EF0378609F58,"4216 bytes (4.12 KiB)",
44,summary_report.xml,E:\REPORTS_RESULTS\20181120\d8\,BA46044B0B122BCD180797875021A7495D2064D015C6AE7DB7D6E1BD2320D28363EE569E075382E8B435D6E3FBCA31BD10797F2075C1F2057628BB17BE042B7D,"6406 bytes (6.26 KiB)",
45,default.css,E:\REPORTS_RESULTS\20181120\d8\,F822D939F5BA709C3FFA3C2098D2B862842E7CB2B3ECB40FBDA95BC5BC6F6B078DD353D0BF05C629351FCCA50B9B72CBAB970ECF6B0312CE9F5D21819D2FD957,"4192 bytes (4.09 KiB)",
46,20181120_d8_ballotimage.txt,E:\REPORTS_RESULTS\20181120\d8\,BB1A50568786B3FDE080BFD5707677AF59681F45AF713DBBEEF3DC76D486AFF976E442822D240DEBBCEB2E3406B8E8E43AB5F615819D28BC024D9A57DEF1E564,"6767577 bytes (6.45 MiB)",
47,20181120_d10.xls,E:\REPORTS_RESULTS\20181120\d10\,9143F97CFE34750A077E707AFB69A8DFE2215369C0C0705272FEBB8B5CACF1BFC917B942680D6C1BAA4AED31B954326F14CC741534E100D18ABA7DB3A462B571,"76512 bytes (74.72 KiB)",
48,20181120_d10.pdf,E:\REPORTS_RESULTS\20181120\d10\,65DCAC350F88DDE1148F89A75CDA810E108B6ED5DE66CADA65C5764E9BEE69A320070E3C477BD9EAEC744C7235B06B89D9C3A671C56AF8863A7E35054299C75C,"90169 bytes (88.06 KiB)",
49,20181120_d10.html,E:\REPORTS_RESULTS\20181120\d10\,A27A9B4CFF66A3C5DB79EBDB01D2734F0AA4766B9791570B6116DEE041A15E5E45F6F1FCD5374684EBD43913DA127A93B7A664A5FEB9EE7176484407110A7E55,"15448 bytes (15.09 KiB)",
50,summary_report.xml,E:\REPORTS_RESULTS\20181120\d10\,ABF9BF0F7C1A04FE6C2F2321A9C8AC86C882CC79B46E09991A8CB8320545B753985771E31708A253A4051166785085DFABAFAE0F3E7526EEB88516153487275A,"31759 bytes (31.01 KiB)",
51,default.css,E:\REPORTS_RESULTS\20181120\d10\,F822D939F5BA709C3FFA3C2098D2B862842E7CB2B3ECB40FBDA95BC5BC6F6B078DD353D0BF05C629351FCCA50B9B72CBAB970ECF6B0312CE9F5D21819D2FD957,"4192 bytes (4.09 KiB)",
52,20181120_d10_ballotimage.txt,E:\REPORTS_RESULTS\20181120\d10\,64C4A67112EE10F5120B23E63B398A2837C778B27715EEB9F29606E29C33EE4A2E4A38068D54AF8EF0E1DB0957FEE16FB6AF776CF4F1F59325A76C72A36A1589,"3698994 bytes (3.53 MiB)",
