contest_id|cand_id|cand_name|ballot_designation|cand_party|incumbent|qualified
0106|001|KIM RUFF|||N|Y
0106|010|VERMIN SUPREME|||N|Y
1020|006|NANCY PELOSI|Member of Congress||Y|Y
1020|005|AGATHA BACELAR|Documentary Filmmaker||N|Y
1020|002|SHAHID BUTTAR|Public Interest Lawyer||N|Y
1020|001|JOHN DENNIS|Independent Businessman||N|Y
1020|003|TOM GALLAGHER|Teacher / Writer||N|Y
1020|007|DEANNA LORRAINE|Consultant / Author||N|Y
1030|002|BARBARA LEE|United States Representative||Y|Y
1030|001|NIKKA PITERMAN|Teacher / Software Engineer||N|Y
1040|001|JACKIE SPEIER|Congresswoman||Y|Y
1040|004|ERIC TAYLOR|Research Manager||N|Y
1040|003|CRISTOS GOODROW|Technology Executive||N|Y
1040|002|RAN S. PETEL|Financial Executive||N|Y
1130|001|SCOTT WIENER|State Senator||Y|Y
1130|005|JACKIE FIELDER|Educator / Nonprofit Organizer||N|Y
1130|006|ERIN SMITH|Small Business Owner||N|Y
1210|001|PHIL TING|Assemblymember||Y|Y
1210|002|JOHN P. MCDONNELL|Attorney||N|Y
1310|001|DAVID CHIU|Assemblymember||Y|Y
2200|003|MARIA ELENA EVANGELISTA|San Francisco Deputy Public Defender||N|Y
2200|002|PANG LY|Superior Court Commissioner||N|Y
2318|002|DOROTHY CHOU PROUDFOOT|Administrative Law Judge, City and County of San Francisco||N|Y
2318|003|MICHELLE TONG|City and County of San Francisco Public Defender's Office, Attorney||N|Y
2321|003|CAROLYN GOLD|Eviction Defense Attorney||N|Y
2321|002|KULVINDAR "RANI" SINGH|Managing District Attorney, City and County of San Francisco||N|Y
3000|003|KAT ANDERSON|Small Business Owner||N|Y
3000|004|KEITH BARAKA|Firefighter||N|Y
3000|011|ABRA PAULINE CASTLE|Parent / School Volunteer||N|Y
3000|008|FAAUUGA MOLIGA|School Board Commissioner / Parent||N|Y
3000|022|MANO RAJU|Appointed Public Defender||N|Y
3000|021|AHSHA SAFAI|Supervisor, City & County of San Francisco||N|Y
3000|010|QUEENA CHEN|Public Library Assistant||N|Y
3000|007|KELLY AKEMI GROTH|Nonprofit Policy Advisor||N|Y
3000|013|MARY JUNG|Incumbent||N|Y
3000|018|LEAH LACROIX|Incumbent||N|Y
3000|005|JANICE LI|Director, BART Board||N|Y
3000|025|SUZY LOFTUS|Attorney||N|Y
3000|019|LI MIAO LOVETT|Community College Educator||N|Y
3000|006|GORDON MAR|Member, San Francisco Board of Supervisors||N|Y
3000|023|PAUL MIYAMOTO|Chief Deputy Sheriff||N|Y
3000|016|SEEYEW MO|Civic Tech Entrepreneur||N|Y
3000|012|JANE NATOLI|Financial Crimes Investigator||N|Y
3000|015|NADIA RAHMAN|Digital Communications Strategist||N|Y
3000|002|A. J. THOMAS|Worker Rights Attorney||N|Y
3000|027|MAWULI TUGBENYOH|Chief of Policy||N|Y
3000|014|CYN WANG|Small Business Owner||N|Y
3010|009|RAFAEL MANDELMAN|Incumbent||Y|Y
3010|035|CAROLE MIGDEN|Grassroots Educator||N|Y
3010|028|HONEY MAHOGANY|Appointed Incumbent||N|Y
3010|038|VICTOR OLIVIERI|Professor||N|Y
3010|036|KEVIN ORTIZ|Teen Programs Manager||N|Y
3010|024|NIMA RAHIMI|Transportation Policy Attorney||N|Y
3010|033|HILLARY RONEN|Supervisor, City and County of San Francisco||N|Y
3010|037|NANCY TUNG|Deputy District Attorney||N|Y
3010|013|DAVID VILLA-LOBOS|Consultant||N|Y
3010|025|SHAMANN WALTON|San Francisco Supervisor||N|Y
3010|014|SHANELL WILLIAMS|City College Trustee||N|Y
3010|040|KRISTEN ASATO-WEBB|Environmental Non-profit Manager||N|Y
3010|042|JOHN AVALOS|Union Organizer||N|Y
3010|001|GLORIA BERRY|Public Servant / Mother||N|Y
3010|022|BIVETT BRACKETT|Commissioner / Entrepreneur / Mother||N|Y
3010|039|VALLIE BROWN|Appointed Supervisor - City and County of San Francisco||N|Y
3010|034|TAMI BRYANT|Youth Employment Coordinator||N|Y
3010|002|STEVEN BUSS|Housing Data Analyst||N|Y
3010|023|DAVID CAMPOS|Deputy County Executive||N|Y
3010|021|MIKE CHEN|Data Engineer||N|Y
3010|016|CHRISTOPHER CHRISTENSEN|Stevedore / Marine Clerk||N|Y
3010|041|WILLIAM (ANUBIS) DAUGHERTY|Emergency Medical Technician||N|Y
3010|019|MICK DEL ROSARIO|Public Health Manager||N|Y
3010|004|BEVAN DUFTY|BART Director||N|Y
3010|008|JANE KIM|Statewide Organizing Director||N|Y
3010|010|SOPHIE MAXWELL|Incumbent||N|Y
3010|032|NOMVULA O'MEARA|Film Producer||N|Y
3010|020|TYRA FENNELL|Director, Arts Non-Profit||N|Y
3010|005|PETER GALLOTTA|Environmental Communications Coordinator||N|Y
3010|006|SHAUN HAINES|Homeless Service Provider||N|Y
3010|031|MATT HANEY|Supervisor, City & County of San Francisco||N|Y
3010|027|RICK HAUPTMAN|Retired Teacher||N|Y
3010|007|FRANCES HSIEH|Immigration Rights Analyst||N|Y
3010|017|AUSTIN HUNTER|Nonprofit Policy Analyst||N|Y
3010|026|ANABELL IBÁÑEZ|Teacher Union Organizer||N|Y
3110|005|EVE DEL CASTELLO|Business Consultant||N|Y
3110|014|CHRISTIAN FOSTER|Retired Civil Servant||N|Y
3110|013|NICOLE GARAY|Marketing Associate||N|Y
3110|003|CALE GARVERICK|Investment Banker||N|Y
3110|011|KRISTA GARVERICK|Appointed Incumbent||N|Y
3110|010|CHRIS WARD KLINE|CEO Non-Profit||N|Y
3110|007|LEO LACAYO|Retired Immigration Consultant||N|Y
3110|004|RYAN LAM|Small Business Owner||N|Y
3110|006|LARRY MARSO|Appointed Incumbent||N|Y
3110|002|LISA REMMER|Incumbent||N|Y
3110|008|JOSEPH C ROBERTS|Law Student||N|Y
3110|009|ERIN SMITH|Small Business Owner||N|Y
3110|001|STEPHEN WAID|Appointed Incumbent||N|Y
3110|012|JOSH YORK|Appointed Incumbent||N|Y
