		Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
	Moraga	10950	4700	2814	259	29	89	5	11	22	3021
	Oakley	20918	9848	4709	681	62	137	57	23	19	5382
	Orinda	13966	6677	3236	277	64	89	7	22	21	3573
	Pinole	11181	6322	1531	267	58	64	32	17	14	2876
	Pittsburg	32659	18296	3822	742	113	162	143	58	51	9272
	Pleasant Hill	21506	10291	4329	597	168	189	46	28	45	5813
	Richmond	51668	32900	3015	855	417	202	270	165	103	13741
	San Pablo	10868	6672	622	197	43	59	60	48	17	3150
	San Ramon	41182	16385	9051	998	102	245	39	63	55	14244
	Walnut Creek	45787	21337	10882	1138	198	305	56	62	71	11738
											
	Unincorporated Area	97260	44580	22897	2596	482	667	256	174	170	25438
Contra Costa Totals		621309	303591	123425	16057	2944	4191	1624	1135	998	167344
     Percent			0.4886312484741211	0.19865316152572632	0.025843823328614235	0.004738382995128632	0.006745435763150454	0.0026138362009078264	0.0018267882987856865	0.0016062860377132893	0.26934102177619934
											
Del Norte											
  Districts											
	County Supervisorial 1	2331	749	670	106	22	22	25	0	33	704
	County Supervisorial 2	2466	787	778	104	23	24	21	0	20	709
	County Supervisorial 3	3139	999	1199	140	19	43	13	0	15	711
	County Supervisorial 4	3173	845	1315	126	17	30	14	1	24	801
	County Supervisorial 5	3041	934	1075	152	25	31	10	0	24	790
											
	US Congressional 2	14150	4314	5037	628	106	150	83	1	116	3715
											
	State Senate 2	14150	4314	5037	628	106	150	83	1	116	3715
											
	State Assembly 2	14150	4314	5037	628	106	150	83	1	116	3715
											
	State Board of Equalization 2	14150	4314	5037	628	106	150	83	1	116	3715
											
  Cities											
	Crescent City	1957	650	540	99	20	21	20	0	20	587
											
	Unincorporated Area	12193	3664	4497	529	86	129	63	1	96	3128
Del Norte Totals		14150	4314	5037	628	106	150	83	1	116	3715
     Percent			0.30487632751464844	0.35597172379493713	0.044381625950336456	0.007491166237741709	0.010600706562399864	0.005865724291652441	7.067137630656362E-05	0.008197879418730736	0.2625441551208496
											
El Dorado											
  Districts											
	County Supervisorial 1	25441	6733	11202	855	55	355	22	15	181	6023
	County Supervisorial 2	26414	7093	11530	1066	102	389	50	17	203	5964
	County Supervisorial 3	23237	6773	9574	991	164	292	76	23	174	5170
	County Supervisorial 4	25204	6550	11462	1005	110	363	40	12	193	5469
	County Supervisorial 5	20896	7688	4997	908	245	306	113	14	174	6451
											
	US Congressional 4	121192	34837	48765	4825	676	1705	301	81	925	29077
											
	State Senate 1	121192	34837	48765	4825	676	1705	301	81	925	29077
											
	State Assembly 5	76782	22970	29277	3304	567	1083	251	49	604	18677
	State Assembly 6	44410	11867	19488	1521	109	622	50	32	321	10400
											
	State Board of Equalization 1	121192	34837	48765	4825	676	1705	301	81	925	29077
											
  Cities											
	Placerville	6061	2080	2063	259	52	74	26	7	43	1457
	South Lake Tahoe	10959	4255	2109	495	148	148	71	7	83	3643
											
	Unincorporated Area	104172	28502	44593	4071	476	1483	204	67	799	23977
El Dorado Totals		121192	34837	48765	4825	676	1705	301	81	925	29077
     Percent			0.28745296597480774	0.40237805247306824	0.039812859147787094	0.005577926058322191	0.014068585820496082	0.0024836622178554535	0.0006683609681203961	0.007632516790181398	0.2399250715970993
											
Fresno											
  Districts											
	County Supervisorial 1	80984	36184	19534	2169	230	445	340	12	713	21357
	County Supervisorial 2	113169	37079	45739	3428	434	891	266	8	1153	24171
	County Supervisorial 3	73673	35807	14324	1746	321	443	413	8	651	19960
	County Supervisorial 4	71415	28173	22977	1631	154	397	272	5	601	17205
	County Supervisorial 5	117650	35712	49270	3704	319	949	284	8	1165	26239
											
	US Congressional 4	9514	1865	5244	369	42	101	18	0	107	1768
	US Congressional 16	138570	65581	29095	3401	556	831	726	18	1259	37103
	US Congressional 21	75038	30367	23007	1816	155	395	278	5	623	18392
	US Congressional 22	233769	75142	94498	7092	705	1798	553	18	2294	51669
											
	State Senate 8	303255	103980	112494	9140	1040	2323	892	28	3015	70343
	State Senate 12	47353	17453	16053	1262	94	277	166	6	415	11627
	State Senate 14	106283	51522	23297	2276	324	525	517	7	853	26962
											
	State Assembly 23	274853	91048	106612	8391	910	2136	754	24	2739	62239
	State Assembly 31	182038	81907	45232	4287	548	989	821	17	1544	46693
											
	State Board of Equalization 1	456891	172955	151844	12678	1458	3125	1575	41	4283	108932
											
  Cities											
	Clovis	64042	17879	28964	2072	151	524	122	4	623	13703
	Coalinga	5069	1730	1543	175	15	41	21	0	56	1488
	Firebaugh	2656	1344	430	51	4	16	11	1	13	786
	Fowler	3139	1250	916	48	4	18	14	0	31	858
	Fresno	243788	100838	68721	6713	918	1635	967	25	2338	61633
	Huron	1064	598	132	18	4	4	9	0	11	288
	Kerman	5802	2443	1456	224	15	20	22	1	50	1571
	Kingsburg	6590	1573	3350	186	14	52	15	1	68	1331
	Mendota	2652	1595	316	33	5	9	8	0	19	667
	Orange Cove	2874	1644	400	55	10	14	15	0	19	717
	Parlier	4368	2450	625	59	11	11	25	0	32	1155
	Reedley	9712	3663	3319	208	22	57	38	2	78	2325
	San Joaquin	864	505	88	18	0	7	7	0	6	233
	Sanger	11336	5228	3036	241	34	62	47	0	72	2616
	Selma	9535	4177	2516	223	10	39	35	0	82	2453
											
	Unincorporated Area	83400	26038	36032	2354	241	616	219	7	785	17108
Fresno Totals		456891	172955	151844	12678	1458	3125	1575	41	4283	108932
     Percent			0.3785476088523865	0.33234184980392456	0.027748413383960724	0.00319113302975893	0.006839705631136894	0.0034472118131816387	8.973693911684677E-05	0.009374227374792099	0.23842009902000427
											
Glenn											
  Districts											
	County Supervisorial 1	2662	744	1047	104	9	35	9	0	6	708
	County Supervisorial 2	2614	816	987	93	13	33	10	0	4	658
	County Supervisorial 3	2709	598	1419	100	6	18	2	0	4	562
	County Supervisorial 4	2395	659	960	118	3	20	10	0	8	617
	County Supervisorial 5	2350	755	973	70	4	25	6	0	2	515
											
	US Congressional 1	1168	244	669	33	3	9	1	0	0	209
	US Congressional 3	11562	3328	4717	452	32	122	36	0	24	2851
											
	State Senate 4	12730	3572	5386	485	35	131	37	0	24	3060
											
	State Assembly 3	12730	3572	5386	485	35	131	37	0	24	3060
											
	State Board of Equalization 2	12730	3572	5386	485	35	131	37	0	24	3060
											
  Cities											
	Orland	3197	1052	1100	112	15	40	15	0	5	858
	Willows	2623	745	1033	125	5	23	10	0	8	674
											
	Unincorporated Area	6910	1775	3253	248	15	68	12	0	11	1528
Glenn Totals		12730	3572	5386	485	35	131	37	0	24	3060
     Percent			0.2805970013141632	0.42309504747390747	0.038098979741334915	0.0027494109235703945	0.010290651582181454	0.0029065199196338654	0	0.0018853102810680866	0.24037706851959229
											
Humboldt											
  Districts											
	County Supervisorial 1	15968	6286	4941	535	179	152	57	34	48	3736
	County Supervisorial 2	14886	5491	4306	581	293	125	64	32	38	3956
	County Supervisorial 3	17547	9005	2347	443	659	199	93	51	51	4699
	County Supervisorial 4	14030	6266	2827	453	314	188	89	37	50	3806
	County Supervisorial 5	16087	7383	3458	486	410	160	54	37	50	4049
											
	US Congressional 2	78518	34431	17879	2498	1855	824	357	191	237	20246
											
	State Senate 2	78518	34431	17879	2498	1855	824	357	191	237	20246
											
	State Assembly 2	78518	34431	17879	2498	1855	824	357	191	237	20246
											
	State Board of Equalization 2	78518	34431	17879	2498	1855	824	357	191	237	20246
											
  Cities											
	Arcata	10944	5893	917	288	459	128	72	36	33	3118
	Blue Lake	806	378	158	27	36	9	5	1	3	189
	Eureka	14545	6548	3005	461	279	189	94	41	53	3875
	Ferndale	961	371	330	35	6	10	3	1	1	204
	Fortuna	6503	2083	2321	250	44	58	21	18	12	1696
	Rio Dell	1684	499	558	85	17	18	8	5	8	486
	Trinidad	281	162	33	6	9	4	1	0	1	65
											
	Unincorporated Area	42794	18497	10557	1346	1005	408	153	89	126	10613
Humboldt Totals		78518	34431	17879	2498	1855	824	357	191	237	20246
     Percent			0.438510924577713	0.22770574688911438	0.03181436285376549	0.02362515591084957	0.010494409129023552	0.0045467279851436615	0.002432563342154026	0.003018416231498122	0.2578516900539398
											
Imperial											
  Districts											
	County Supervisorial 1	16123	8992	1170	235	42	54	96	109	89	5336
	County Supervisorial 2	14601	6614	3102	353	45	85	48	67	92	4195
	County Supervisorial 3	14362	6158	3255	355	22	86	62	87	78	4259
	County Supervisorial 4	11532	4954	3048	329	22	83	78	60	62	2896
	County Supervisorial 5	13110	6426	2246	280	33	65	82	64	78	3836
											
	US Congressional 51	69728	33144	12821	1552	164	373	366	387	399	20522
											
	State Senate 40	69728	33144	12821	1552	164	373	366	387	399	20522
											
	State Assembly 56	69728	33144	12821	1552	164	373	366	387	399	20522
											
	State Board of Equalization 4	69728	33144	12821	1552	164	373	366	387	399	20522
											
  Cities											
	Brawley	9993	4706	2185	238	15	67	69	51	47	2615
	Calexico	18143	10024	1276	257	48	61	103	121	103	6150
	Calipatria	1128	598	170	34	0	5	7	7	5	302
	El Centro	18088	8485	3513	419	50	105	74	100	110	5232
	Holtville	2340	1054	483	60	5	14	19	12	12	681
	Imperial	7777	2980	1957	205	10	53	26	48	41	2457
	Westmorland	712	382	136	18	2	3	9	4	2	156
											
	Unincorporated Area	11547	4915	3101	321	34	65	59	44	79	2929
Imperial Totals		69728	33144	12821	1552	164	373	366	387	399	20522
     Percent			0.47533270716667175	0.18387161195278168	0.022257916629314423	0.0023519962560385466	0.005349357612431049	0.005248967558145523	0.005550137721002102	0.005722234956920147	0.29431504011154175
											
Inyo											
  Districts											
	County Supervisorial 1	2260	645	1042	89	8	24	3	0	6	443
	County Supervisorial 2	1891	619	650	71	9	24	6	0	9	503
	County Supervisorial 3	2508	740	1048	100	15	17	4	0	16	568
	County Supervisorial 4	1863	544	750	80	12	14	5	0	6	452
	County Supervisorial 5	1514	492	503	78	10	22	7	1	11	390
											
	US Congressional 8	10036	3040	3993	418	54	101	25	1	48	2356
											
	State Senate 8	10036	3040	3993	418	54	101	25	1	48	2356
											
	State Assembly 26	10036	3040	3993	418	54	101	25	1	48	2356
											
	State Board of Equalization 1	10036	3040	3993	418	54	101	25	1	48	2356
											
  Cities											
	Bishop	1767	589	594	65	9	23	6	0	7	474
											
	Unincorporated Area	8269	2451	3399	353	45	78	19	1	41	1882
Inyo Totals		10036	3040	3993	418	54	101	25	1	48	2356
     Percent			0.3029095232486725	0.39786767959594727	0.041650060564279556	0.005380629561841488	0.010063770227134228	0.002491032239049673	9.964129276340827E-05	0.004782781936228275	0.23475487530231476
											
Kern											
  Districts											
	County Supervisorial 1	100151	21306	50351	3670	245	961	229	273	136	22980
	County Supervisorial 2	81707	23703	30466	3291	238	798	294	336	119	22462
	County Supervisorial 3	84531	26244	31740	2955	252	874	297	324	127	21718
	County Supervisorial 4	53268	24689	11978	1133	97	294	238	241	60	14538
	County Supervisorial 5	56224	30120	8060	1398	147	317	325	315	77	15465
											
	US Congressional 21	95878	49583	16108	2114	178	512	523	505	119	26236
	US Congressional 23	280003	76479	116487	10333	801	2732	860	984	400	70927
											
	State Senate 14	86277	45697	13785	1830	153	440	460	468	109	23335
	State Senate 16	289604	80365	118810	10617	826	2804	923	1021	410	73828
											
	State Assembly 26	8571	1978	3995	500	36	91	43	39	20	1869
	State Assembly 32	96757	51003	15792	2085	182	508	512	511	121	26043
	State Assembly 34	252298	67868	106178	8992	711	2446	753	873	352	64125
	State Assembly 36	18255	5213	6630	870	50	199	75	66	26	5126
											
	State Board of Equalization 1	375881	126062	132595	12447	979	3244	1383	1489	519	97163
											
  Cities											
	Arvin	4606	2610	464	78	6	21	20	17	3	1387
	Bakersfield	178518	61416	60645	5368	457	1391	626	676	225	47714
	California City	5595	1783	1903	267	13	54	19	29	6	1521
	Delano	13874	7929	1938	204	25	54	64	89	18	3553
	Maricopa	434	72	223	20	2	5	2	2	1	107
	McFarland	3644	1989	493	61	6	15	14	11	4	1051
	Ridgecrest	14432	3125	6369	598	46	209	45	37	21	3982
	Shafter	6281	2524	1731	157	12	37	34	23	6	1757
	Taft	3060	543	1666	121	4	30	12	8	5	671
	Tehachapi	4571	1046	1959	234	15	59	16	19	12	1211
	Wasco	6620	3056	1381	145	9	42	43	30	8	1906
											
	Unincorporated Area	134246	39969	53823	5194	384	1327	488	548	210	32303
Kern Totals		375881	126062	132595	12447	979	3244	1383	1489	519	97163
     Percent			0.33537742495536804	0.35275793075561523	0.033114202320575714	0.002604547655209899	0.008630391210317612	0.0036793560720980167	0.003961360082030296	0.0013807561481371522	0.2584940493106842
											
Kings											
  Districts											
	County Supervisorial 1	9084	2654	3756	237	17	97	28	41	21	2233
	County Supervisorial 2	7787	3733	2051	144	16	35	28	45	12	1723
	County Supervisorial 3	12174	3010	5811	324	27	109	27	69	44	2753
	County Supervisorial 4	11095	3955	4171	295	33	81	33	53	32	2442
	County Supervisorial 5	12491	3682	5674	381	18	112	31	36	38	2519
											
	US Congressional 21	52631	17034	21463	1381	111	434	147	244	147	11670
											
	State Senate 14	52631	17034	21463	1381	111	434	147	244	147	11670
											
	State Assembly 32	52631	17034	21463	1381	111	434	147	244	147	11670
											
	State Board of Equalization 1	52631	17034	21463	1381	111	434	147	244	147	11670
											
  Cities											
	Avenal	2007	964	452	28	6	11	9	15	3	519
	Corcoran	4366	2173	1083	94	8	20	12	27	7	942
	Hanford	24679	7854	10296	691	57	200	62	101	74	5344
	Lemoore	10655	3005	4449	311	23	102	30	50	35	2650
											
	Unincorporated Area	10924	3038	5183	257	17	101	34	51	28	2215
Kings Totals		52631	17034	21463	1381	111	434	147	244	147	11670
     Percent			0.3236495554447174	0.40780147910118103	0.026239288970828056	0.0021090232767164707	0.00824609026312828	0.0027930308133363724	0.004636051133275032	0.0027930308133363724	0.22173243761062622
											
Lake											
  Districts											
	County Supervisorial 1	6789	2500	1943	273	64	81	36	0	10	1882
	County Supervisorial 2	5193	2084	950	224	47	65	35	1	6	1781
	County Supervisorial 3	6472	2425	1608	288	81	64	41	0	11	1954
	County Supervisorial 4	7234	2666	2280	252	69	79	26	0	12	1850
	County Supervisorial 5	6965	2679	1928	260	64	71	26	0	10	1927
											
	US Congressional 3	15370	5899	3580	640	162	168	102	1	24	4794
	US Congressional 5	17283	6455	5129	657	163	192	62	0	25	4600
											
	State Senate 2	32653	12354	8709	1297	325	360	164	1	49	9394
											
	State Assembly 4	32653	12354	8709	1297	325	360	164	1	49	9394
											
	State Board of Equalization 2	32653	12354	8709	1297	325	360	164	1	49	9394
											
  Cities											
	Clearlake	6157	2481	1123	262	56	76	46	1	8	2104
	Lakeport	2666	990	823	97	29	21	9	0	4	693
											
	Unincorporated Area	23830	8883	6763	938	240	263	109	0	37	6597
Lake Totals		32653	12354	8709	1297	325	360	164	1	49	9394
     Percent			0.3783419728279114	0.26671361923217773	0.039720699191093445	0.009953144006431103	0.011025020852684975	0.00502250948920846	3.062505857087672E-05	0.0015006278408691287	0.28769180178642273
											
Lassen											
  Districts											
	County Supervisorial 1	3100	697	1454	178	10	20	8	0	20	713
	County Supervisorial 2	2478	574	998	136	10	34	6	0	15	705
	County Supervisorial 3	3476	606	1896	182	7	44	7	0	25	709
	County Supervisorial 4	2820	577	1394	133	8	31	10	1	7	659
	County Supervisorial 5	2458	409	1216	134	13	21	13	4	17	631
											
	US Congressional 1	14332	2863	6958	763	48	150	44	5	84	3417
											
	State Senate 1	14332	2863	6958	763	48	150	44	5	84	3417
											
	State Assembly 1	14332	2863	6958	763	48	150	44	5	84	3417
											
	State Board of Equalization 1	14332	2863	6958	763	48	150	44	5	84	3417
											
  Cities											
	Susanville	4848	1085	2065	251	14	55	13	0	27	1338
											
	Unincorporated Area	9484	1778	4893	512	34	95	31	5	57	2079
Lassen Totals		14332	2863	6958	763	48	150	44	5	84	3417
     Percent			0.199762761592865	0.4854870140552521	0.05323750898241997	0.003349148668348789	0.010466089472174644	0.00307005294598639	0.0003488696529529989	0.005861010402441025	0.23841752111911774
											
Los Angeles											
  Districts											
	County Supervisorial 1	885792	479624	104412	15885	3902	4577	7374	4449	5469	260100
	County Supervisorial 2	1026488	626608	80338	18173	3913	4514	6419	5033	7192	274298
	County Supervisorial 3	1142638	588396	169985	24469	5453	7708	4446	3603	10219	328359
	County Supervisorial 4	1102565	493348	247539	25155	4450	7357	6565	3754	8181	306216
	County Supervisorial 5	1123175	456591	297649	27575	4292	7521	4178	3944	9111	312314
											
	US Congressional 23	42841	14880	15062	1425	100	328	144	189	351	10362
	US Congressional 25	325979	124130	101050	9751	1022	2390	1034	1265	2767	82570
	US Congressional 26	6130	2060	2231	176	16	44	8	10	73	1512
	US Congressional 27	364677	159075	76060	6891	1562	2093	1610	1532	2611	113243
	US Congressional 28	437224	213404	73402	9139	2274	3024	1624	1422	3742	129193
	US Congressional 29	325397	170889	39209	6584	1496	1971	1986	1230	2676	99356
	US Congressional 30	439702	212786	86674	10093	1917	2921	1487	1184	3871	118769
	US Congressional 32	332211	152925	68646	7518	1125	1918	2412	1284	2187	94196
	US Congressional 33	481240	212750	110509	10875	2113	3582	1038	1298	4651	134424
	US Congressional 34	317186	178607	27211	5390	1861	1714	2380	2139	2016	95868
	US Congressional 35	64555	31570	9607	1426	253	445	1009	325	504	19416
	US Congressional 37	430907	264791	34097	7830	1917	2146	2051	1825	3367	112883
	US Congressional 38	363409	175320	73970	7904	1194	2013	2329	1175	2382	97122
	US Congressional 39	102501	37006	25447	1899	294	478	418	342	654	35963
	US Congressional 40	282177	163434	27895	4951	950	1328	2556	1399	1509	78155
	US Congressional 43	378888	212823	49241	7246	1289	1906	1907	1624	2730	100122
	US Congressional 44	344841	202016	33849	6145	1176	1476	3344	1569	2193	93073
	US Congressional 47	240793	116101	45763	6014	1451	1900	1645	971	1888	65060
											
