		Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
	Orinda	14214	7105	3062	315	58	100	10	43	33	3488
	Pinole	11547	6662	1570	311	54	74	37	50	24	2765
	Pittsburg	35161	19961	4125	950	104	210	204	211	86	9310
	Pleasant Hill	22107	11042	4297	736	154	223	57	90	57	5451
	Richmond	54124	35230	3202	1073	429	251	369	354	140	13076
	San Pablo	11575	7175	690	231	56	64	80	111	18	3150
	San Ramon	43489	18391	9162	1186	112	325	47	188	91	13987
	Walnut Creek	47047	22986	10673	1352	191	372	66	177	107	11123

	Unincorporated Area	101837	48052	23420	3159	498	835	349	421	227	24876
Contra Costa Totals		649157	326668	125575	19168	2927	5153	2176	3030	1487	162973
     Percent			0.5032187700271606	0.1934431940317154	0.02952752634882927	0.004508924670517445	0.007937987335026264	0.0033520397264510393	0.004667591769248247	0.0022906630765646696	0.2510533034801483

Del Norte
  Districts
	County Supervisorial 1	2455	783	744	129	26	34	27	3	21	688
	County Supervisorial 2	2626	847	863	129	18	30	20	0	15	704
	County Supervisorial 3	3358	1043	1319	162	18	49	14	1	7	745
	County Supervisorial 4	3307	866	1374	147	16	42	16	3	13	830
	County Supervisorial 5	3218	979	1174	174	22	31	15	3	17	803

	US Congressional 2	14964	4518	5474	741	100	186	92	10	73	3770

	State Senate 2	14964	4518	5474	741	100	186	92	10	73	3770

	State Assembly 2	14964	4518	5474	741	100	186	92	10	73	3770

	State Board of Equalization 2	14964	4518	5474	741	100	186	92	10	73	3770

  Cities
	Crescent City	2086	694	597	114	19	29	27	2	13	591

	Unincorporated Area	12878	3824	4877	627	81	157	65	8	60	3179
Del Norte Totals		14964	4518	5474	741	100	186	92	10	73	3770
     Percent			0.30192461609840393	0.365811288356781	0.04951884597539902	0.006682705134153366	0.012429831549525261	0.006148088723421097	0.0006682705134153366	0.004878374747931957	0.25193798542022705

El Dorado
  Districts
	County Supervisorial 1	26120	7265	11361	982	49	413	26	0	155	5869
	County Supervisorial 2	27218	7357	12004	1198	104	480	63	1	184	5827
	County Supervisorial 3	23337	6854	9713	1118	151	339	86	0	147	4929
	County Supervisorial 4	25445	6682	11691	1131	105	434	54	0	159	5189
	County Supervisorial 5	20965	8027	5115	1002	243	301	132	0	154	5991

	US Congressional 4	123085	36185	49884	5431	652	1967	361	1	799	27805

	State Senate 1	123085	36185	49884	5431	652	1967	361	1	799	27805

	State Assembly 5	77254	23412	29929	3655	546	1227	296	1	521	17667
	State Assembly 6	45831	12773	19955	1776	106	740	65	0	278	10138

	State Board of Equalization 1	123085	36185	49884	5431	652	1967	361	1	799	27805

  Cities
	Placerville	6076	2150	2054	288	47	90	29	0	27	1391
	South Lake Tahoe	11013	4457	2176	552	147	159	85	0	72	3365

	Unincorporated Area	105996	29578	45654	4591	458	1718	247	1	700	23049
El Dorado Totals		123085	36185	49884	5431	652	1967	361	1	799	27805
     Percent			0.2939838469028473	0.4052809178829193	0.04412398114800453	0.005297152325510979	0.015980826690793037	0.002932932460680604	8.124467058223672e-06	0.006491449195891619	0.225900799036026

Fresno
  Districts
	County Supervisorial 1	85253	38499	19895	2659	264	539	500	350	707	21840
	County Supervisorial 2	116213	38963	46009	3912	453	1038	344	325	1107	24062
	County Supervisorial 3	76994	37471	14261	2131	310	499	605	384	756	20577
	County Supervisorial 4	74995	29798	23401	1951	159	495	390	272	684	17845
	County Supervisorial 5	124398	38632	51354	4427	321	1176	400	370	1130	26588

	US Congressional 4	9814	1887	5514	409	39	114	26	20	96	1709
	US Congressional 16	145272	69090	29146	4210	562	953	1045	696	1354	38216
	US Congressional 21	78991	32237	23469	2158	168	484	411	285	700	19079
	US Congressional 22	243776	80149	96791	8303	738	2196	757	700	2234	51908

	State Senate 8	316602	110958	115048	10748	1065	2768	1208	1003	2929	70875
	State Senate 12	49935	18596	16537	1502	115	324	247	195	431	11988
	State Senate 14	111316	53809	23335	2830	327	655	784	503	1024	28049

	State Assembly 23	286536	97058	109069	9881	953	2550	997	868	2644	62516
	State Assembly 31	191317	86305	45851	5199	554	1197	1242	833	1740	48396

	State Board of Equalization 1	477853	183363	154920	15080	1507	3747	2239	1701	4384	110912

  Cities
	Clovis	67506	19366	30239	2472	164	646	159	196	619	13645
	Coalinga	5427	1871	1644	207	19	50	38	25	51	1522
	Firebaugh	2844	1453	433	70	6	17	25	10	11	819
	Fowler	3377	1358	947	81	6	20	16	14	38	897
	Fresno	254963	106869	69607	8037	932	1944	1388	1017	2384	62785
	Huron	1158	648	138	27	2	5	9	4	10	315
	Kerman	6199	2627	1526	260	19	26	36	25	55	1625
	Kingsburg	6876	1653	3471	228	19	58	18	22	68	1339
	Mendota	2826	1691	349	42	5	10	8	9	19	693
	Orange Cove	3051	1709	414	63	9	18	27	13	20	778
	Parlier	4596	2545	619	70	11	20	33	16	39	1243
	Reedley	10148	3856	3360	258	22	76	55	39	83	2399
	San Joaquin	918	556	80	18	1	8	9	4	8	234
	Sanger	11979	5628	3028	293	27	80	62	34	75	2752
	Selma	10001	4430	2512	251	11	53	54	41	129	2520

	Unincorporated Area	85984	27103	36553	2703	254	716	302	232	775	17346
Fresno Totals		477853	183363	154920	15080	1507	3747	2239	1701	4384	110912
     Percent			0.38372260332107544	0.3242001235485077	0.03155782073736191	0.0031536894384771585	0.007841323502361774	0.004685541149228811	0.0035596720408648252	0.009174369275569916	0.2321048527956009

Glenn
  Districts
	County Supervisorial 1	2855	812	1143	121	6	41	11	1	6	714
	County Supervisorial 2	2780	863	1065	116	12	34	16	4	5	665
	County Supervisorial 3	2768	591	1480	111	8	29	3	2	5	539
	County Supervisorial 4	2525	698	1028	134	5	29	8	3	9	611
	County Supervisorial 5	2454	780	1027	65	5	28	10	1	6	532

	US Congressional 1	1175	243	680	37	4	11	2	0	3	195
	US Congressional 3	12207	3501	5063	510	32	150	46	11	28	2866

	State Senate 4	13382	3744	5743	547	36	161	48	11	31	3061

	State Assembly 3	13382	3744	5743	547	36	161	48	11	31	3061

	State Board of Equalization 2	13382	3744	5743	547	36	161	48	11	31	3061

  Cities
	Orland	3449	1147	1198	141	13	42	22	5	6	875
	Willows	2754	784	1100	141	5	34	8	3	9	670

	Unincorporated Area	7179	1813	3445	265	18	85	18	3	16	1516
Glenn Totals		13382	3744	5743	547	36	161	48	11	31	3061
     Percent			0.2797788083553314	0.4291585683822632	0.04087580367922783	0.002690180903300643	0.012031086720526218	0.003586907871067524	0.000821999681647867	0.0023165445309132338	0.22874009609222412

Humboldt
  Districts
	County Supervisorial 1	15989	6300	4980	576	182	182	54	83	68	3564
	County Supervisorial 2	14884	5469	4437	629	265	157	65	93	67	3702
	County Supervisorial 3	16798	8864	2320	425	569	195	101	93	89	4142
	County Supervisorial 4	13963	6366	2872	483	283	195	100	85	83	3496
	County Supervisorial 5	16081	7501	3459	549	355	179	67	78	78	3815

	US Congressional 2	77715	34500	18068	2662	1654	908	387	432	385	18719

	State Senate 2	77715	34500	18068	2662	1654	908	387	432	385	18719

	State Assembly 2	77715	34500	18068	2662	1654	908	387	432	385	18719

	State Board of Equalization 2	77715	34500	18068	2662	1654	908	387	432	385	18719

  Cities
	Arcata	10286	5717	900	262	392	124	74	63	62	2692
	Blue Lake	772	388	134	27	27	7	6	2	4	177
	Eureka	14478	6640	3048	490	262	198	102	87	80	3571
	Ferndale	943	370	325	30	6	13	0	5	3	191
	Fortuna	6582	2123	2385	266	43	73	22	42	24	1604
	Rio Dell	1728	512	596	81	16	29	9	18	14	453
	Trinidad	277	157	36	6	11	3	1	0	1	62

	Unincorporated Area	42649	18593	10644	1500	897	461	173	215	197	9969
Humboldt Totals		77715	34500	18068	2662	1654	908	387	432	385	18719
     Percent			0.4439297318458557	0.23249050974845886	0.03425336256623268	0.021282892674207687	0.01168371643871069	0.004979733843356371	0.005558772478252649	0.004953998606652021	0.2408672720193863

Imperial
  Districts
	County Supervisorial 1	17100	9504	1362	284	59	69	129	203	73	5417
	County Supervisorial 2	15781	7260	3377	411	45	108	82	129	77	4292
	County Supervisorial 3	16244	7119	3720	448	37	110	81	150	72	4507
	County Supervisorial 4	12534	5462	3214	420	32	101	97	112	50	3046
	County Supervisorial 5	14052	6938	2445	329	43	78	114	110	67	3928

	US Congressional 51	75711	36283	14118	1892	216	466	503	704	339	21190

	State Senate 40	75711	36283	14118	1892	216	466	503	704	339	21190

	State Assembly 56	75711	36283	14118	1892	216	466	503	704	339	21190

	State Board of Equalization 4	75711	36283	14118	1892	216	466	503	704	339	21190

  Cities
	Brawley	10880	5178	2338	327	25	81	85	92	37	2717
	Calexico	19317	10642	1514	312	67	79	141	218	87	6257
	Calipatria	1167	600	184	38	2	6	12	18	5	302
	El Centro	19754	9414	3869	505	60	127	117	177	92	5393
	Holtville	2532	1166	510	64	9	15	27	16	10	715
	Imperial	8990	3608	2295	259	17	60	31	73	37	2610
	Westmorland	699	384	122	17	1	3	8	9	0	155

	Unincorporated Area	12372	5291	3286	370	35	95	82	101	71	3041
Imperial Totals		75711	36283	14118	1892	216	466	503	704	339	21190
     Percent			0.47923022508621216	0.18647223711013794	0.024989763274788857	0.0028529539704322815	0.00615498423576355	0.006643684580922127	0.009298516437411308	0.004477552603930235	0.2798800766468048

Inyo
  Districts
	County Supervisorial 1	2206	684	1004	88	9	19	5	4	9	384
	County Supervisorial 2	1882	650	654	61	9	22	9	9	12	456
	County Supervisorial 3	2507	781	1037	106	12	16	6	4	16	529
	County Supervisorial 4	1818	565	761	66	1	13	6	3	11	392
	County Supervisorial 5	1413	504	462	69	9	20	8	6	6	329

	US Congressional 8	9826	3184	3918	390	40	90	34	26	54	2090

	State Senate 8	9826	3184	3918	390	40	90	34	26	54	2090

	State Assembly 26	9826	3184	3918	390	40	90	34	26	54	2090

	State Board of Equalization 1	9826	3184	3918	390	40	90	34	26	54	2090

  Cities
	Bishop	1766	624	596	57	9	21	9	8	10	432

	Unincorporated Area	8060	2560	3322	333	31	69	25	18	44	1658
Inyo Totals		9826	3184	3918	390	40	90	34	26	54	2090
     Percent			0.3240382671356201	0.3987380564212799	0.039690617471933365	0.004070832394063473	0.009159373119473457	0.0034602077212184668	0.002646041102707386	0.0054956236854195595	0.2127009928226471

Kern
  Districts
	County Supervisorial 1	103777	22421	52236	4172	252	1146	299	659	231	22361
	County Supervisorial 2	85526	25524	31548	3731	244	960	382	801	210	22126
	County Supervisorial 3	87353	27801	32583	3321	272	1028	437	748	277	20886
	County Supervisorial 4	57226	26393	12903	1458	101	375	344	565	115	14972
	County Supervisorial 5	58294	30611	8654	1714	166	365	492	696	196	15400

	US Congressional 21	100692	51338	17163	2626	211	613	763	1141	259	26578
	US Congressional 23	291484	81412	120761	11770	824	3261	1191	2328	770	69167

	State Senate 14	90790	47259	14780	2314	186	537	695	1049	239	23731
	State Senate 16	301386	85491	123144	12082	849	3337	1259	2420	790	72014

	State Assembly 26	8788	2000	4116	550	41	105	54	73	24	1825
	State Assembly 32	101386	52522	16849	2609	213	616	779	1162	273	26363
	State Assembly 34	262726	72514	110091	10258	724	2915	1023	2027	687	62487
	State Assembly 36	19276	5714	6868	979	57	238	98	207	45	5070

	State Board of Equalization 1	392176	132750	137924	14396	1035	3874	1954	3469	1029	95745

  Cities
	Arvin	4956	2797	509	110	5	28	36	55	7	1409
	Bakersfield	186960	65387	63119	6360	499	1692	877	1618	500	46908
	California City	5834	1927	1939	301	17	68	29	72	10	1471
	Delano	14658	8214	2069	284	28	67	98	175	30	3693
	Maricopa	417	67	221	25	0	6	2	2	3	91
	McFarland	3897	2102	541	75	6	29	18	39	6	1081
	Ridgecrest	14991	3316	6649	692	44	242	69	109	45	3825
	Shafter	6871	2775	1886	198	13	44	43	61	19	1832
	Taft	3158	526	1719	142	5	40	18	29	5	674
	Tehachapi	4774	1058	2075	277	17	62	19	36	13	1217
	Wasco	7047	3241	1457	186	8	53	57	76	17	1952

	Unincorporated Area	138613	41340	55740	5746	393	1543	688	1197	374	31592
Kern Totals		392176	132750	137924	14396	1035	3874	1954	3469	1029	95745
     Percent			0.33849596977233887	0.35168904066085815	0.036708008497953415	0.0026391211431473494	0.009878218173980713	0.004982457030564547	0.008845518343150616	0.0026238218415528536	0.24413783848285675

Kings
  Districts
	County Supervisorial 1	9548	2865	3837	316	16	110	34	76	48	2246
	County Supervisorial 2	8141	3901	2033	182	20	48	48	80	36	1793
	County Supervisorial 3	12645	3203	5967	386	34	129	39	92	70	2725
	County Supervisorial 4	11791	4340	4140	380	29	100	58	79	74	2591
	County Supervisorial 5	12901	3807	5748	443	30	138	49	66	77	2543

	US Congressional 21	55026	18116	21725	1707	129	525	228	393	305	11898

	State Senate 14	55026	18116	21725	1707	129	525	228	393	305	11898

	State Assembly 32	55026	18116	21725	1707	129	525	228	393	305	11898

	State Board of Equalization 1	55026	18116	21725	1707	129	525	228	393	305	11898

  Cities
	Avenal	2122	1018	447	38	5	19	11	28	10	546
	Corcoran	4549	2263	1084	116	9	21	26	45	19	966
	Hanford	25848	8397	10377	856	66	246	104	161	155	5486
	Lemoore	11159	3235	4581	378	24	124	36	82	59	2640

	Unincorporated Area	11348	3203	5236	319	25	115	51	77	62	2260
Kings Totals		55026	18116	21725	1707	129	525	228	393	305	11898
     Percent			0.32922619581222534	0.3948133587837219	0.03102169930934906	0.002344346372410655	0.00954094436019659	0.004143495578318834	0.007142078131437302	0.005542834289371967	0.2162250578403473

Lake
  Districts
	County Supervisorial 1	7066	2556	2096	326	65	104	42	9	12	1856
	County Supervisorial 2	5320	2121	1052	249	49	58	45	8	12	1726
	County Supervisorial 3	6516	2454	1709	337	79	57	50	3	10	1817
	County Supervisorial 4	7411	2721	2361	307	60	90	30	3	11	1828
	County Supervisorial 5	7225	2787	2033	313	68	79	25	3	10	1907

	US Congressional 3	15684	6010	3822	750	164	160	126	13	30	4609
	US Congressional 5	17854	6629	5429	782	157	228	66	13	25	4525

	State Senate 2	33538	12639	9251	1532	321	388	192	26	55	9134

	State Assembly 4	33538	12639	9251	1532	321	388	192	26	55	9134

	State Board of Equalization 2	33538	12639	9251	1532	321	388	192	26	55	9134

  Cities
	Clearlake	6335	2529	1253	296	61	70	58	9	17	2042
	Lakeport	2689	1018	846	107	27	27	7	2	4	651

	Unincorporated Area	24514	9092	7152	1129	233	291	127	15	34	6441
Lake Totals		33538	12639	9251	1532	321	388	192	26	55	9134
     Percent			0.37685608863830566	0.27583637833595276	0.04567952826619148	0.009571232832968235	0.011568966321647167	0.00572484964504838	0.0007752400124445558	0.0016399308806285262	0.2723477780818939

Lassen
  Districts
	County Supervisorial 1	2996	640	1503	170	9	26	8	2	17	621
	County Supervisorial 2	2421	548	1029	157	11	48	10	5	11	602
	County Supervisorial 3	3333	526	1922	191	9	40	10	1	25	609
	County Supervisorial 4	2770	524	1484	138	10	32	15	1	4	562
	County Supervisorial 5	2354	366	1245	125	11	18	10	3	14	562

	US Congressional 1	13874	2604	7183	781	50	164	53	12	71	2956

	State Senate 1	13874	2604	7183	781	50	164	53	12	71	2956

	State Assembly 1	13874	2604	7183	781	50	164	53	12	71	2956

	State Board of Equalization 1	13874	2604	7183	781	50	164	53	12	71	2956

  Cities
	Susanville	4727	1007	2180	269	16	72	22	6	19	1136

	Unincorporated Area	9147	1597	5003	512	34	92	31	6	52	1820
Lassen Totals		13874	2604	7183	781	50	164	53	12	71	2956
     Percent			0.18768920004367828	0.5177310109138489	0.0562923438847065	0.0036038632970303297	0.011820672079920769	0.0038200952112674713	0.0008649271912872791	0.005117485765367746	0.2130603939294815

Los Angeles
  Districts
	County Supervisorial 1	930092	512769	109585	19085	4122	5543	8378	6401	6846	257363
	County Supervisorial 2	1066873	658450	85101	22001	4101	5404	7576	6922	8562	268756
	County Supervisorial 3	1177507	618844	173801	28564	5567	8912	5447	6223	10356	319793
	County Supervisorial 4	1147984	527383	252035	29923	4606	8899	7366	6095	9280	302397
	County Supervisorial 5	1176248	492909	303830	32378	4508	9062	5092	6715	9375	312379

	US Congressional 23	46313	16792	15757	1797	118	397	210	304	372	10566
	US Congressional 25	345097	135527	104218	11506	1077	2949	1416	2000	2793	83611
	US Congressional 26	6301	2181	2260	199	14	45	12	25	69	1496
	US Congressional 27	380771	171721	77185	8067	1629	2511	1881	2434	2762	112581
	US Congressional 28	447665	224357	73945	10331	2264	3404	1880	2505	3798	125181
	US Congressional 29	340994	182256	41336	7940	1577	2334	2417	2095	2902	98137
	US Congressional 30	454895	223768	88069	11903	1977	3468	1878	2314	3869	117649
	US Congressional 32	352563	165824	71461	9033	1257	2399	2781	2165	2745	94898
	US Congressional 33	492969	224809	110604	12699	2129	4201	1248	2156	4530	130593
	US Congressional 34	330634	190904	28815	6344	1936	2094	2727	2714	2450	92650
	US Congressional 35	68505	34292	10178	1814	272	525	1043	465	590	19326
	US Congressional 37	442456	275980	35415	9102	1932	2506	2406	2455	3543	109117
	US Congressional 38	380561	187116	76571	9407	1276	2431	2605	1953	2801	96401
	US Congressional 39	107907	40436	26212	2309	301	577	503	653	736	36180
	US Congressional 40	297689	174450	29616	6033	1083	1651	2894	2055	2122	77785
	US Congressional 43	397542	225893	51118	8884	1365	2290	2357	2442	3243	99950
	US Congressional 44	358092	211316	35446	7619	1211	1834	3749	2248	2851	91818
	US Congressional 47	247750	122733	46146	6964	1486	2204	1852	1373	2243	62749

	State Senate 18	500105	263669	68562	12237	2281	3660	2935	2825	4374	139562
	State Senate 20	68812	34431	10255	1819	274	527	1046	467	593	19400
	State Senate 21	345988	136066	104814	11962	1079	2953	1528	2100	2823	82663
