sequence	type	contest_id	external_id	vote_for	title	text
240	question	11162	585		70	<strong>REQUIRES LEGISLATIVE SUPERMAJORITY VOTE APPROVING USE OF CAP-AND-TRADE RESERVE FUND. LEGISLATIVE CONSTITUTIONAL AMENDMENT.</strong> Beginning in 2024, requires that cap-and-trade revenues accumulate in a reserve fund until the Legislature, by a two-thirds majority, authorizes use of the revenues. Fiscal Impact: Beginning in 2024, potential temporary increase in state sales tax revenue, ranging from none to a few hundred million dollars annually, and possible changes in how revenue from sale of greenhouse gas emission permits is spent.
250	question	11163	586		71	<strong>SETS EFFECTIVE DATE FOR BALLOT MEASURES. LEGISLATIVE CONSTITUTIONAL AMENDMENT. </strong>Provides that ballot measures approved by a majority of voters shall take effect five days after the Secretary of State certifies the results of the election. Fiscal Impact: Likely little or no effect on state and local finances.
260	question	11164	587		72	<strong>PERMITS LEGISLATURE TO EXCLUDE NEWLY CONSTRUCTED RAIN-CAPTURE SYSTEMS FROM PROPERTY-TAX REASSESSMENT REQUIREMENT. LEGISLATIVE CONSTITUTIONAL AMENDMENT. </strong>Permits Legislature to allow construction of rain-capture systems, completed on or after January 1, 2019, without requiring property-tax reassessment. Fiscal Impact: Probably minor reduction in annual property tax revenues to local governments.
268	header	11207	header-16		REGIONAL MEASURE	
270	question	11165	617		3	BAY AREA TRAFFIC RELIEF PLAN. Shall voters authorize a plan to reduce auto and truck traffic, relieve crowding on BART, unclog freeway bottlenecks, and improve bus, ferry, BART and commuter rail service as specified in the plan in this voter pamphlet, with a $1 toll increase effective in 2019, a $1 increase in 2022, and a $1 increase in 2025, on all Bay Area toll bridges except the Golden Gate Bridge, with independent oversight of all funds?
278	header	11208	header-17		CITY AND COUNTY PROPOSITIONS	
280	question	11166	372		A	Shall the City authorize the San Francisco Public Utilities Commission to issue revenue bonds to build or improve the City’s clean power facilities, with approval by two-thirds of the Board of Supervisors, and prohibit the PUC from financing construction of power plants that generate electricity from fossil fuels or nuclear power?
290	question	11167	373		B	Shall the City require appointed members of boards and commissions established by the Charter to forfeit their appointed seat when they file to run for state or local elective office?
300	question	11168	374		C	Shall the City impose a new gross receipts tax of 1% on revenues a business receives from leasing warehouse space in San Francisco, and 3.5% on revenues a business receives from leasing some commercial spaces in San Francisco, to fund quality early care and education for young children and for other public purposes?
310	question	11169	375		D	Shall the City impose a new gross receipts tax of 1.7% on revenues a business receives from leasing some commercial spaces in San Francisco, to fund homeless services, housing for extremely low- to middle-income households and for other public purposes?
320	question	11170	448		E	Shall the City ordinance prohibiting the sale of flavored tobacco products in San Francisco take effect?
330	question	11171	376		F	Shall the City establish, fund and run a program to provide legal representation for all residential tenants in San Francisco facing eviction?
340	question	11172	594		G	Shall the City collect an annual tax of $298 per parcel for investment in education, subject to certain exemptions including those for senior citizens?
350	question	11173	595		H	Shall the City set a policy for when police officers can use tasers and authorize the Police Department to purchase tasers for all officers, subject to specific conditions?
360	question	11174	596		I	Shall the City adopt a policy not to encourage professional sports teams from other cities to move to San Francisco and to oppose any sports team ownership group attempting to avoid payment of an outstanding public debt?
