Textbox11,Textbox3,Textbox2,Textbox9,Textbox12,Textbox8
Election Summary Report,General Election,City and County of San Francisco,"November 05, 2019",,"City and County of San Francisco
November 5, 2019, Consolidated Municipal Election
Summary Report - 0"
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,PAUL YBARRA ROBERTSON ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,PAUL YBARRA ROBERTSON ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,ELLEN LEE ZHOU ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,ELLEN LEE ZHOU ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,ELLEN LEE ZHOU ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,ELLEN LEE ZHOU ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,LONDON N. BREED ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,LONDON N. BREED ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,LONDON N. BREED ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,LONDON N. BREED ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,MAYOR (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",Precincts Reported: 0 of 54 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,RYAN LAM ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,RYAN LAM ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,RYAN LAM ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,RYAN LAM ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,DEAN PRESTON ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,DEAN PRESTON ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,DEAN PRESTON ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,DEAN PRESTON ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,NOMVULA O'MEARA ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,NOMVULA O'MEARA ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,NOMVULA O'MEARA ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,NOMVULA O'MEARA ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,VALLIE BROWN ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,VALLIE BROWN ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,VALLIE BROWN ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,VALLIE BROWN ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,"MEMBER, BOARD OF SUPERVISORS, DISTRICT 5 (Vote for  1)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,CITY ATTORNEY (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,DENNIS J. HERRERA ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,DENNIS J. HERRERA ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,DENNIS J. HERRERA ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,DENNIS J. HERRERA ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,CITY ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,DISTRICT ATTORNEY (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,SUZY LOFTUS ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,SUZY LOFTUS ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,SUZY LOFTUS ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,SUZY LOFTUS ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,LEIF DAUTCH ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,LEIF DAUTCH ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,LEIF DAUTCH ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,LEIF DAUTCH ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,NANCY TUNG ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,NANCY TUNG ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,NANCY TUNG ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,NANCY TUNG ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,CHESA BOUDIN ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,CHESA BOUDIN ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,CHESA BOUDIN ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,CHESA BOUDIN ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,DISTRICT ATTORNEY (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,PUBLIC DEFENDER (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,"MANOHAR ""MANO"" RAJU ",,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,"MANOHAR ""MANO"" RAJU ",,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,"MANOHAR ""MANO"" RAJU ",,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,"MANOHAR ""MANO"" RAJU ",,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,PUBLIC DEFENDER (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,SHERIFF (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,PAUL MIYAMOTO ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,PAUL MIYAMOTO ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,PAUL MIYAMOTO ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,PAUL MIYAMOTO ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,SHERIFF (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,TREASURER (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TREASURER (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TREASURER (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,JOSÉ CISNEROS ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,JOSÉ CISNEROS ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,JOSÉ CISNEROS ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,JOSÉ CISNEROS ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,TREASURER (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,JENNY LAM ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,JENNY LAM ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,JENNY LAM ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,JENNY LAM ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,KIRSTEN STROBEL ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,KIRSTEN STROBEL ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
