Page: 1 of 16||||||||43754.7371134722

||City and County of San Francisco␤November 5, 2019, Consolidated Municipal Election␤Statement of the Vote

Precinct|Registered␤Voters||Cards Cast||Voters Cast|% Turnout
PCT 7846|0.0||0.0||0.0|N/A
PCT 7847/7848|0.0||0.0||0.0|N/A
PCT 7849|0.0||0.0||0.0|N/A
PCT 7852/7851|0.0||0.0||0.0|N/A
PCT 7853/7859|0.0||0.0||0.0|N/A
PCT 7854|0.0||0.0||0.0|N/A
PCT 7855/7856|0.0||0.0||0.0|N/A
PCT 7858/7857|0.0||0.0||0.0|N/A
PCT 7861|0.0||0.0||0.0|N/A
PCT 7862|0.0||0.0||0.0|N/A
PCT 7863|0.0||0.0||0.0|N/A
PCT 7864|0.0||0.0||0.0|N/A
PCT 7866|0.0||0.0||0.0|N/A
PCT 7867|0.0||0.0||0.0|N/A
PCT 7868|0.0||0.0||0.0|N/A
PCT 7869|0.0||0.0||0.0|N/A
PCT 7871|0.0||0.0||0.0|N/A
PCT 7872|0.0||0.0||0.0|N/A
PCT 7873/7865|0.0||0.0||0.0|N/A
PCT 7874|0.0||0.0||0.0|N/A
PCT 7875|0.0||0.0||0.0|N/A
PCT 7876|0.0||0.0||0.0|N/A
PCT 7902/7904|0.0||0.0||0.0|N/A
PCT 7903|0.0||0.0||0.0|N/A
PCT 7905|0.0||0.0||0.0|N/A
PCT 7906|0.0||13.0||7.0|N/A
PCT 7908/7907|0.0||0.0||0.0|N/A
PCT 7909|0.0||13.0||7.0|N/A
PCT 7911|0.0||13.0||7.0|N/A
PCT 7912/7913|0.0||13.0||7.0|N/A
PCT 7915/7914|0.0||13.0||7.0|N/A
PCT 7916|0.0||0.0||0.0|N/A
PCT 7917/7919|0.0||0.0||0.0|N/A
PCT 7918|0.0||0.0||0.0|N/A
PCT 7921/7922|0.0||0.0||0.0|N/A
PCT 7923/7924|0.0||0.0||0.0|N/A
PCT 7925|0.0||0.0||0.0|N/A
PCT 7926|0.0||0.0||0.0|N/A
PCT 7928/7927|0.0||0.0||0.0|N/A
PCT 7929|0.0||0.0||0.0|N/A
PCT 7931|0.0||0.0||0.0|N/A
PCT 7932|0.0||0.0||0.0|N/A
PCT 7933 MB|0.0||0.0||0.0|N/A
PCT 7934|0.0||0.0||0.0|N/A
PCT 7935|0.0||0.0||0.0|N/A
PCT 7936/7939|0.0||0.0||0.0|N/A
PCT 7937|0.0||0.0||0.0|N/A
PCT 7938|0.0||0.0||0.0|N/A
PCT 7941|0.0||0.0||0.0|N/A
PCT 7942|0.0||0.0||0.0|N/A
PCT 7943/7944|0.0||13.0||7.0|N/A
PCT 7945|0.0||13.0||7.0|N/A
PCT 7946/7949|0.0||13.0||7.0|N/A
PCT 7947|0.0||13.0||7.0|N/A
PCT 7948|0.0||13.0||7.0|N/A
PCT 7951/7955|0.0||13.0||7.0|N/A
PCT 7953|0.0||13.0||7.0|N/A
PCT 7954 MB|0.0||0.0||0.0|N/A
PCT 7956/7952|0.0||0.0||0.0|N/A
PCT 7957|0.0||0.0||0.0|N/A
PCT 7958 MB|0.0||0.0||0.0|N/A
PCT 7959/7901|0.0||0.0||0.0|N/A
PCT 9001 MB|0.0||0.0||0.0|N/A
PCT 9103|0.0||0.0||0.0|N/A
PCT 9104|0.0||0.0||0.0|N/A
PCT 9105/9107|0.0||0.0||0.0|N/A
PCT 9106|0.0||0.0||0.0|N/A
PCT 9109/9108|0.0||0.0||0.0|N/A
PCT 9111|0.0||0.0||0.0|N/A
PCT 9113|0.0||0.0||0.0|N/A
PCT 9114/9112|0.0||0.0||0.0|N/A
PCT 9116/9115|0.0||0.0||0.0|N/A
PCT 9117/9101|0.0||0.0||0.0|N/A
PCT 9118/9102|0.0||13.0||7.0|N/A
PCT 9119|0.0||13.0||7.0|N/A
PCT 9122/9121|0.0||13.0||7.0|N/A
PCT 9124/9142|0.0||13.0||7.0|N/A
PCT 9125|0.0||0.0||0.0|N/A
PCT 9127/9126|0.0||13.0||7.0|N/A
PCT 9128|0.0||13.0||7.0|N/A
PCT 9129/9131|0.0||13.0||7.0|N/A
PCT 9132|0.0||13.0||7.0|N/A
PCT 9133/9148|0.0||13.0||7.0|N/A
PCT 9134|0.0||13.0||7.0|N/A
PCT 9135|0.0||13.0||7.0|N/A
PCT 9136|0.0||13.0||7.0|N/A
PCT 9137|0.0||0.0||0.0|N/A
PCT 9138|0.0||0.0||0.0|N/A
PCT 9139|0.0||0.0||0.0|N/A
PCT 9141/9123|0.0||0.0||0.0|N/A
PCT 9143|0.0||0.0||0.0|N/A
PCT 9144|0.0||0.0||0.0|N/A
PCT 9145|0.0||0.0||0.0|N/A
PCT 9146/9147|0.0||0.0||0.0|N/A
PCT 9149|0.0||0.0||0.0|N/A
PCT 9152/9151|0.0||0.0||0.0|N/A
PCT 9201|0.0||0.0||0.0|N/A
PCT 9202|0.0||0.0||0.0|N/A
PCT 9203|0.0||0.0||0.0|N/A
PCT 9204|0.0||13.0||7.0|N/A
PCT 9205/9212|0.0||13.0||7.0|N/A
PCT 9208/9207|0.0||13.0||7.0|N/A
PCT 9209|0.0||13.0||7.0|N/A
PCT 9211/9206|0.0||13.0||7.0|N/A
PCT 9213|0.0||13.0||7.0|N/A
PCT 9214|0.0||13.0||7.0|N/A
PCT 9215|0.0||13.0||7.0|N/A
PCT 9216|0.0||13.0||7.0|N/A
PCT 9217|0.0||13.0||7.0|N/A
PCT 9218|0.0||13.0||7.0|N/A
PCT 9219/9225|0.0||13.0||7.0|N/A
PCT 9221|0.0||13.0||7.0|N/A
PCT 9222|0.0||0.0||0.0|N/A
PCT 9223|0.0||0.0||0.0|N/A
PCT 9224|0.0||0.0||0.0|N/A
PCT 9226|0.0||0.0||0.0|N/A
PCT 9227|0.0||0.0||0.0|N/A
PCT 9228|0.0||0.0||0.0|N/A
PCT 9229|0.0||0.0||0.0|N/A
PCT 9231|0.0||0.0||0.0|N/A
PCT 9232|0.0||0.0||0.0|N/A
PCT 9233|0.0||0.0||0.0|N/A
PCT 9234|0.0||0.0||0.0|N/A
PCT 9235/9243|0.0||0.0||0.0|N/A
PCT 9236|0.0||0.0||0.0|N/A
PCT 9237|0.0||0.0||0.0|N/A
PCT 9238/9246|0.0||0.0||0.0|N/A
PCT 9239|0.0||0.0||0.0|N/A
PCT 9241|0.0||0.0||0.0|N/A
PCT 9242/9247|0.0||0.0||0.0|N/A
PCT 9244|0.0||0.0||0.0|N/A
PCT 9245/7206|0.0||0.0||0.0|N/A
PCT 9248|0.0||0.0||0.0|N/A
PCT 9251/9249|0.0||0.0||0.0|N/A
PCT 9252|0.0||0.0||0.0|N/A
PCT 9253|0.0||0.0||0.0|N/A
PCT 9255/9258|0.0||0.0||0.0|N/A
PCT 9256/9254|0.0||0.0||0.0|N/A
PCT 9257 MB|0.0||0.0||0.0|N/A
PCT 9401|0.0||0.0||0.0|N/A
PCT 9402|0.0||0.0||0.0|N/A
PCT 9404/9403|0.0||0.0||0.0|N/A
PCT 9405|0.0||0.0||0.0|N/A
PCT 9406|0.0||0.0||0.0|N/A
PCT 9407|0.0||0.0||0.0|N/A
PCT 9408|0.0||0.0||0.0|N/A
PCT 9409|0.0||0.0||0.0|N/A
PCT 9411/9412|0.0||0.0||0.0|N/A
PCT 9413|0.0||0.0||0.0|N/A
PCT 9415|0.0||0.0||0.0|N/A
PCT 9416|0.0||13.0||7.0|N/A
PCT 9418/9417|0.0||13.0||7.0|N/A
PCT 9419/9414|0.0||0.0||0.0|N/A
PCT 9421|0.0||0.0||0.0|N/A
PCT 9422|0.0||0.0||0.0|N/A
PCT 9423|0.0||0.0||0.0|N/A
PCT 9424/9425|0.0||0.0||0.0|N/A
PCT 9426|0.0||0.0||0.0|N/A
PCT 9427|0.0||0.0||0.0|N/A
PCT 9431/9429|0.0||0.0||0.0|N/A
PCT 9432|0.0||0.0||0.0|N/A
PCT 9433/9428|0.0||0.0||0.0|N/A
PCT 9434|0.0||0.0||0.0|N/A
PCT 9436|0.0||0.0||0.0|N/A
PCT 9437|0.0||0.0||0.0|N/A
PCT 9439/9438|0.0||0.0||0.0|N/A
PCT 9441|0.0||0.0||0.0|N/A
PCT 9442/9435|0.0||0.0||0.0|N/A
PCT 9443/9444|0.0||0.0||0.0|N/A
PCT 9445|0.0||0.0||0.0|N/A
PCT 9446/9452|0.0||0.0||0.0|N/A
PCT 9447|0.0||0.0||0.0|N/A
PCT 9448|0.0||0.0||0.0|N/A
PCT 9449|0.0||0.0||0.0|N/A
PCT 9451|0.0||0.0||0.0|N/A
PCT 9453|0.0||0.0||0.0|N/A
PCT 9501 MB|0.0||0.0||0.0|N/A
PCT 9502 MB|0.0||0.0||0.0|N/A
PCT 9503/9504|0.0||0.0||0.0|N/A
PCT 9505|0.0||0.0||0.0|N/A
PCT 9506|0.0||0.0||0.0|N/A
PCT 9507|0.0||0.0||0.0|N/A
PCT 9511/9509|0.0||0.0||0.0|N/A
PCT 9512/9508|0.0||0.0||0.0|N/A
PCT 9513|0.0||0.0||0.0|N/A
PCT 9514/9522|0.0||0.0||0.0|N/A
PCT 9516/9515|0.0||0.0||0.0|N/A
PCT 9517/9518|0.0||0.0||0.0|N/A
PCT 9519|0.0||0.0||0.0|N/A
PCT 9521|0.0||0.0||0.0|N/A
PCT 9701|0.0||0.0||0.0|N/A
PCT 9702|0.0||0.0||0.0|N/A
PCT 9703|0.0||0.0||0.0|N/A
PCT 9704|0.0||0.0||0.0|N/A
PCT 9705/9708|0.0||0.0||0.0|N/A
PCT 9706 MB|0.0||0.0||0.0|N/A
PCT 9709|0.0||0.0||0.0|N/A
PCT 9711/9707|0.0||0.0||0.0|N/A
PCT 9712/9715|0.0||0.0||0.0|N/A
PCT 9716|0.0||0.0||0.0|N/A
PCT 9717/9713|0.0||0.0||0.0|N/A
PCT 9718/9714|0.0||0.0||0.0|N/A
PCT 9719|0.0||0.0||0.0|N/A
PCT 9721|0.0||0.0||0.0|N/A
PCT 9722|0.0||0.0||0.0|N/A
PCT 9723|0.0||0.0||0.0|N/A
PCT 9724|0.0||0.0||0.0|N/A
PCT 9725|0.0||0.0||0.0|N/A
PCT 9726|0.0||0.0||0.0|N/A
PCT 9727|0.0||0.0||0.0|N/A
PCT 9728/9746|0.0||0.0||0.0|N/A
PCT 9729|0.0||0.0||0.0|N/A
PCT 9731|0.0||0.0||0.0|N/A
PCT 9732 MB|0.0||0.0||0.0|N/A
PCT 9733 MB|0.0||0.0||0.0|N/A
PCT 9734/9735|0.0||0.0||0.0|N/A
PCT 9737/9736|0.0||0.0||0.0|N/A
PCT 9738|0.0||0.0||0.0|N/A
PCT 9739|0.0||0.0||0.0|N/A
PCT 9741|0.0||0.0||0.0|N/A
PCT 9742|0.0||0.0||0.0|N/A
PCT 9743|0.0||0.0||0.0|N/A
PCT 9744|0.0||0.0||0.0|N/A
PCT 9745|0.0||0.0||0.0|N/A
PCT 9748|0.0||0.0||0.0|N/A
PCT 9749/9747|0.0||0.0||0.0|N/A
PCT 9751|0.0||0.0||0.0|N/A
PCT 9752|0.0||0.0||0.0|N/A
PCT 9753|0.0||0.0||0.0|N/A
PCT 9754|0.0||0.0||0.0|N/A
PCT 9755|0.0||0.0||0.0|N/A
PCT 9756|0.0||0.0||0.0|N/A
PCT 9801|0.0||0.0||0.0|N/A
PCT 9900 MB|0.0||0.0||0.0|N/A
PCT 9901 MB|0.0||0.0||0.0|N/A
PCT 9902 MB|0.0||0.0||0.0|N/A
San Francisco - Total|0.0||1197.0||648.0|N/A
Cumulative
Cumulative|0.0||0.0||0.0|N/A
Cumulative - Total|0.0||0.0||0.0|N/A
City and County - Total|0.0||1197.0||648.0|N/A
Page: 2 of 16|||||||||||43754.7371134722
MAYOR (Vote for  1)  

Precinct|Registered ␤Voters|Undervotes||Overvotes|Precinct|JOEL VENTRESCA␤ ||WILMA PANG␤ ||ROBERT L. JORDAN, JR.␤ |||PAUL YBARRA ROBERTSON␤ ||ELLEN LEE ZHOU␤ |||LONDON N. BREED␤ ||Write-in␤ ||Total Votes
City and County|||||City and County
San Francisco|||||San Francisco
PCT 1101|0.0|0.0||0.0|PCT 1101|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1102|0.0|0.0||0.0|PCT 1102|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1103|0.0|0.0||0.0|PCT 1103|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1104/1105|0.0|0.0||0.0|PCT 1104/1105|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1106/1107|0.0|0.0||0.0|PCT 1106/1107|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1108|0.0|0.0||0.0|PCT 1108|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1109|0.0|0.0||0.0|PCT 1109|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1111|0.0|0.0||0.0|PCT 1111|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1112|0.0|0.0||0.0|PCT 1112|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1114/1113|0.0|0.0||0.0|PCT 1114/1113|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1115/1116|0.0|0.0||0.0|PCT 1115/1116|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1117/1123|0.0|0.0||0.0|PCT 1117/1123|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1118|0.0|0.0||0.0|PCT 1118|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1119|0.0|0.0||0.0|PCT 1119|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1122|0.0|0.0||0.0|PCT 1122|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1124|0.0|0.0||0.0|PCT 1124|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1125|0.0|0.0||0.0|PCT 1125|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1126/1121|0.0|0.0||0.0|PCT 1126/1121|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1127/1128|0.0|0.0||0.0|PCT 1127/1128|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1129|0.0|0.0||0.0|PCT 1129|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1131|0.0|0.0||0.0|PCT 1131|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1132|0.0|0.0||0.0|PCT 1132|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1133|0.0|0.0||0.0|PCT 1133|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1134|0.0|0.0||0.0|PCT 1134|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1135|0.0|0.0||0.0|PCT 1135|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1136|0.0|0.0||0.0|PCT 1136|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1141|0.0|0.0||0.0|PCT 1141|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1143|0.0|0.0||0.0|PCT 1143|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1144/1142|0.0|0.0||0.0|PCT 1144/1142|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1145|0.0|0.0||0.0|PCT 1145|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1146|0.0|0.0||0.0|PCT 1146|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1147|0.0|0.0||0.0|PCT 1147|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1148|0.0|0.0||0.0|PCT 1148|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
PCT 1149|0.0|0.0||0.0|PCT 1149|0.0||0.0||0.0|||0.0||0.0|||0.0||0.0||0.0
